@relation 'pacmanInformation-weka.filters.unsupervised.attribute.Remove-R7-8,17-22'

@attribute PacPosX numeric
@attribute PacPosY numeric
@attribute ActN {North,None}
@attribute ActSo {South,None}
@attribute ActE {East,None}
@attribute ActW {West,None}
@attribute G1PosX numeric
@attribute G1PosY numeric
@attribute G2PosX numeric
@attribute G2PosY numeric
@attribute G3PosX numeric
@attribute G3PosY numeric
@attribute G4PosX numeric
@attribute G4PosY numeric
@attribute Score numeric
@attribute NextScore numeric
@attribute PacDir {North,South,East,West,Stop,None}

@data
12,9,North,South,East,West,5,6,5,12,13,6,13,12,-1,-2,South
12,8,North,South,East,West,5,6,5,12,13,6,13,12,-2,-3,South
12,7,North,South,East,West,5,6,5,12,13,6,13,12,-3,-4,South
12,6,North,South,East,West,5,6,5,12,13,6,13,12,-4,195,South
13,6,North,South,East,West,5,6,5,12,5,1,13,12,195,194,East
14,6,North,South,East,West,5,6,5,12,5,1,13,12,194,193,East
13,6,North,South,East,West,5,6,5,12,5,1,13,12,193,192,West
12,6,North,South,East,West,5,6,5,12,5,1,13,12,192,191,West
12,7,North,South,East,West,5,6,5,12,5,1,13,12,191,190,North
12,8,North,South,East,West,5,6,5,12,5,1,13,12,190,189,North
12,9,North,South,East,West,5,6,5,12,5,1,13,12,189,188,North
12,10,North,South,East,West,5,6,5,12,5,1,13,12,188,187,North
13,10,North,South,East,West,5,6,5,12,5,1,13,12,187,186,East
13,11,North,South,East,West,5,6,5,12,5,1,13,12,186,385,North
13,12,North,South,East,West,5,6,5,12,5,1,7,1,385,384,North
12,12,North,South,East,West,5,6,5,12,5,1,7,1,384,383,West
11,12,North,South,East,West,5,6,5,12,5,1,7,1,383,382,West
10,12,North,South,East,West,5,6,5,12,5,1,7,1,382,381,West
9,12,North,South,East,West,5,6,5,12,5,1,7,1,381,380,West
8,12,North,South,East,West,5,6,5,12,5,1,7,1,380,379,West
7,12,North,South,East,West,5,6,5,12,5,1,7,1,379,378,West
6,12,North,South,East,West,5,6,5,12,5,1,7,1,378,577,West
5,12,North,South,East,West,5,6,3,1,5,1,7,1,577,576,West
6,12,North,South,East,West,5,6,3,1,5,1,7,1,576,575,East
7,12,North,South,East,West,5,6,3,1,5,1,7,1,575,574,East
7,11,North,South,East,West,5,6,3,1,5,1,7,1,574,573,South
7,10,North,South,East,West,5,6,3,1,5,1,7,1,573,572,South
7,9,North,South,East,West,5,6,3,1,5,1,7,1,572,571,South
7,8,North,South,East,West,5,6,3,1,5,1,7,1,571,570,South
7,7,North,South,East,West,5,6,3,1,5,1,7,1,570,569,South
7,6,North,South,East,West,5,6,3,1,5,1,7,1,569,568,South
6,6,North,South,East,West,5,6,3,1,5,1,7,1,568,0,West
12,10,North,South,East,West,5,6,5,12,13,6,13,12,0,-1,Stop
11,10,North,South,East,West,5,6,5,12,13,6,13,12,-1,-2,West
