@RELATION pacmanInformation
@ATTRIBUTE PacPosX NUMERIC
@ATTRIBUTE PacPosY NUMERIC
@ATTRIBUTE ActN {North, None}
@ATTRIBUTE ActSo {South, None}
@ATTRIBUTE ActE {East, None}
@ATTRIBUTE ActW {West, None}
@ATTRIBUTE ActS {Stop, None}
@ATTRIBUTE NumAgents NUMERIC
@ATTRIBUTE G1PosX NUMERIC
@ATTRIBUTE G1PosY NUMERIC
@ATTRIBUTE G2PosX NUMERIC
@ATTRIBUTE G2PosY NUMERIC
@ATTRIBUTE G3PosX NUMERIC
@ATTRIBUTE G3PosY NUMERIC
@ATTRIBUTE G4PosX NUMERIC
@ATTRIBUTE G4PosY NUMERIC
@ATTRIBUTE DistG1 NUMERIC
@ATTRIBUTE DistG2 NUMERIC
@ATTRIBUTE DistG3 NUMERIC
@ATTRIBUTE DistG4 NUMERIC
@ATTRIBUTE NumDots NUMERIC
@ATTRIBUTE DistDot NUMERIC
@ATTRIBUTE Score NUMERIC
@ATTRIBUTE NextScore NUMERIC
@ATTRIBUTE PacDir {North, South, East, West, Stop, None}
@DATA
12,9,North,South,East,West,Stop,4,5,6,5,12,13,6,13,12,10,10,4,4,1,6,-1,-2,South
12,8,North,South,East,West,Stop,4,5,6,5,12,13,6,13,12,9,11,3,5,1,7,-2,-3,South
12,7,North,South,East,West,Stop,4,5,6,5,12,13,6,13,12,8,12,2,6,1,8,-3,-4,South
12,6,North,South,East,West,Stop,4,5,6,5,12,13,6,13,12,7,13,1,7,1,9,-4,195,South
13,6,North,South,East,West,Stop,3,5,6,5,12,5,1,13,12,8,14,0,6,1,8,195,194,East
14,6,North,South,East,West,Stop,3,5,6,5,12,5,1,13,12,9,15,0,7,1,7,194,193,East
13,6,North,South,East,West,Stop,3,5,6,5,12,5,1,13,12,8,14,0,6,1,8,193,192,West
12,6,North,South,East,West,Stop,3,5,6,5,12,5,1,13,12,7,13,0,7,1,9,192,191,West
12,7,North,South,East,West,Stop,3,5,6,5,12,5,1,13,12,8,12,0,6,1,8,191,190,North
12,8,North,South,East,West,Stop,3,5,6,5,12,5,1,13,12,9,11,0,5,1,7,190,189,North
12,9,North,South,East,West,Stop,3,5,6,5,12,5,1,13,12,10,10,0,4,1,6,189,188,North
12,10,North,South,East,West,Stop,3,5,6,5,12,5,1,13,12,11,9,0,3,1,7,188,187,North
13,10,North,South,East,West,Stop,3,5,6,5,12,5,1,13,12,12,10,0,2,1,6,187,186,East
13,11,North,South,East,West,Stop,3,5,6,5,12,5,1,13,12,13,9,0,1,1,7,186,385,North
13,12,North,South,East,West,Stop,2,5,6,5,12,5,1,7,1,14,8,0,0,1,8,385,384,North
12,12,North,South,East,West,Stop,2,5,6,5,12,5,1,7,1,13,7,0,0,1,9,384,383,West
11,12,North,South,East,West,Stop,2,5,6,5,12,5,1,7,1,12,6,0,0,1,10,383,382,West
10,12,North,South,East,West,Stop,2,5,6,5,12,5,1,7,1,11,5,0,0,1,11,382,381,West
9,12,North,South,East,West,Stop,2,5,6,5,12,5,1,7,1,10,4,0,0,1,12,381,380,West
8,12,North,South,East,West,Stop,2,5,6,5,12,5,1,7,1,9,3,0,0,1,13,380,379,West
7,12,North,South,East,West,Stop,2,5,6,5,12,5,1,7,1,8,2,0,0,1,14,379,378,West
6,12,North,South,East,West,Stop,2,5,6,5,12,5,1,7,1,7,1,0,0,1,15,378,577,West
5,12,North,South,East,West,Stop,1,5,6,3,1,5,1,7,1,6,0,0,0,1,16,577,576,West
6,12,North,South,East,West,Stop,1,5,6,3,1,5,1,7,1,7,0,0,0,1,15,576,575,East
7,12,North,South,East,West,Stop,1,5,6,3,1,5,1,7,1,8,0,0,0,1,14,575,574,East
7,11,North,South,East,West,Stop,1,5,6,3,1,5,1,7,1,7,0,0,0,1,13,574,573,South
7,10,North,South,East,West,Stop,1,5,6,3,1,5,1,7,1,6,0,0,0,1,12,573,572,South
7,9,North,South,East,West,Stop,1,5,6,3,1,5,1,7,1,5,0,0,0,1,11,572,571,South
7,8,North,South,East,West,Stop,1,5,6,3,1,5,1,7,1,4,0,0,0,1,12,571,570,South
7,7,North,South,East,West,Stop,1,5,6,3,1,5,1,7,1,3,0,0,0,1,13,570,569,South
7,6,North,South,East,West,Stop,1,5,6,3,1,5,1,7,1,2,0,0,0,1,14,569,568,South
6,6,North,South,East,West,Stop,1,5,6,3,1,5,1,7,1,1,0,0,0,1,15,568,0,West
12,10,North,South,East,West,Stop,4,5,6,5,12,13,6,13,12,11,9,5,3,1,7,0,-1,Stop
11,10,North,South,East,West,Stop,4,5,6,5,12,13,6,13,12,10,8,6,4,1,8,-1,-2,West
10,10,North,South,East,West,Stop,4,5,6,5,12,13,6,13,12,9,7,7,5,1,9,-2,-3,West
9,10,North,South,East,West,Stop,4,5,6,5,12,13,6,13,12,8,6,8,6,1,10,-3,-4,West
8,10,North,South,East,West,Stop,4,5,6,5,12,13,6,13,12,7,5,9,7,1,11,-4,-5,West
8,11,North,South,East,West,Stop,4,5,6,5,12,13,6,13,12,8,4,10,6,1,12,-5,-6,North
8,12,North,South,East,West,Stop,4,5,6,5,12,13,6,13,12,9,3,11,5,1,13,-6,-7,North
7,12,North,South,East,West,Stop,4,5,6,5,12,13,6,13,12,8,2,12,6,1,14,-7,-8,West
6,12,North,South,East,West,Stop,4,5,6,5,12,13,6,13,12,7,1,13,7,1,15,-8,191,West
5,12,North,South,East,West,Stop,3,5,6,3,1,13,6,13,12,6,0,14,8,1,16,191,190,West
6,12,North,South,East,West,Stop,3,5,6,3,1,13,6,13,12,7,0,13,7,1,15,190,189,East
7,12,North,South,East,West,Stop,3,5,6,3,1,13,6,13,12,8,0,12,6,1,14,189,188,East
8,12,North,South,East,West,Stop,3,5,6,3,1,13,6,13,12,9,0,11,5,1,13,188,187,East
9,12,North,South,East,West,Stop,3,5,6,3,1,13,6,13,12,10,0,10,4,1,12,187,186,East
10,12,North,South,East,West,Stop,3,5,6,3,1,13,6,13,12,11,0,9,3,1,11,186,185,East
11,12,North,South,East,West,Stop,3,5,6,3,1,13,6,13,12,12,0,8,2,1,10,185,184,East
12,12,North,South,East,West,Stop,3,5,6,3,1,13,6,13,12,13,0,7,1,1,9,184,383,East
13,12,North,South,East,West,Stop,2,5,6,3,1,13,6,7,1,14,0,6,0,1,8,383,382,East
13,11,North,South,East,West,Stop,2,5,6,3,1,13,6,7,1,13,0,5,0,1,7,382,381,South
13,10,North,South,East,West,Stop,2,5,6,3,1,13,6,7,1,12,0,4,0,1,6,381,380,South
13,9,North,South,East,West,Stop,2,5,6,3,1,13,6,7,1,11,0,3,0,1,5,380,379,South
13,8,North,South,East,West,Stop,2,5,6,3,1,13,6,7,1,10,0,2,0,1,6,379,378,South
13,7,North,South,East,West,Stop,2,5,6,3,1,13,6,7,1,9,0,1,0,1,7,378,577,South
13,6,North,South,East,West,Stop,1,5,6,3,1,5,1,7,1,8,0,0,0,1,8,577,576,South
12,6,North,South,East,West,Stop,1,5,6,3,1,5,1,7,1,7,0,0,0,1,9,576,575,West
11,6,North,South,East,West,Stop,1,5,6,3,1,5,1,7,1,6,0,0,0,1,10,575,574,West
10,6,North,South,East,West,Stop,1,5,6,3,1,5,1,7,1,5,0,0,0,1,11,574,573,West
9,6,North,South,East,West,Stop,1,5,6,3,1,5,1,7,1,4,0,0,0,1,12,573,572,West
8,6,North,South,East,West,Stop,1,5,6,3,1,5,1,7,1,3,0,0,0,1,13,572,571,West
7,6,North,South,East,West,Stop,1,5,6,3,1,5,1,7,1,2,0,0,0,1,14,571,570,West
6,6,North,South,East,West,Stop,1,5,6,3,1,5,1,7,1,1,0,0,0,1,15,570,0,West
12,10,North,South,East,West,Stop,4,5,6,5,12,13,6,13,12,11,9,5,3,1,7,0,-1,Stop
11,10,North,South,East,West,Stop,4,5,6,5,12,13,6,13,12,10,8,6,4,1,8,-1,-2,West
10,10,North,South,East,West,Stop,4,5,6,5,12,13,6,13,12,9,7,7,5,1,9,-2,-3,West
9,10,North,South,East,West,Stop,4,5,6,5,12,13,6,13,12,8,6,8,6,1,10,-3,-4,West
8,10,North,South,East,West,Stop,4,5,6,5,12,13,6,13,12,7,5,9,7,1,11,-4,-5,West
8,9,North,South,East,West,Stop,4,5,6,5,12,13,6,13,12,6,6,8,8,1,10,-5,-6,South
8,8,North,South,East,West,Stop,4,5,6,5,12,13,6,13,12,5,7,7,9,1,11,-6,-7,South
7,8,North,South,East,West,Stop,4,5,6,5,12,13,6,13,12,4,6,8,10,1,12,-7,-8,West
6,8,North,South,East,West,Stop,4,5,6,5,12,13,6,13,12,3,5,9,11,1,13,-8,-9,West
5,8,North,South,East,West,Stop,4,5,6,5,12,13,6,13,12,2,4,10,12,1,14,-9,-10,West
5,7,North,South,East,West,Stop,4,5,6,5,12,13,6,13,12,1,5,9,13,1,15,-10,189,South
5,6,North,South,East,West,Stop,3,1,1,5,12,13,6,13,12,0,6,8,14,1,16,189,188,South
6,6,North,South,East,West,Stop,3,1,1,5,12,13,6,13,12,0,7,7,13,1,15,188,187,East
7,6,North,South,East,West,Stop,3,1,1,5,12,13,6,13,12,0,8,6,12,1,14,187,186,East
8,6,North,South,East,West,Stop,3,1,1,5,12,13,6,13,12,0,9,5,11,1,13,186,185,East
9,6,North,South,East,West,Stop,3,1,1,5,12,13,6,13,12,0,10,4,10,1,12,185,184,East
10,6,North,South,East,West,Stop,3,1,1,5,12,13,6,13,12,0,11,3,9,1,11,184,183,East
11,6,North,South,East,West,Stop,3,1,1,5,12,13,6,13,12,0,12,2,8,1,10,183,182,East
12,6,North,South,East,West,Stop,3,1,1,5,12,13,6,13,12,0,13,1,7,1,9,182,381,East
13,6,North,South,East,West,Stop,2,1,1,5,12,5,1,13,12,0,14,0,6,1,8,381,380,East
13,7,North,South,East,West,Stop,2,1,1,5,12,5,1,13,12,0,13,0,5,1,7,380,379,North
13,8,North,South,East,West,Stop,2,1,1,5,12,5,1,13,12,0,12,0,4,1,6,379,378,North
13,9,North,South,East,West,Stop,2,1,1,5,12,5,1,13,12,0,11,0,3,1,5,378,377,North
13,10,North,South,East,West,Stop,2,1,1,5,12,5,1,13,12,0,10,0,2,1,6,377,376,North
13,11,North,South,East,West,Stop,2,1,1,5,12,5,1,13,12,0,9,0,1,1,7,376,575,North
13,12,North,South,East,West,Stop,1,1,1,5,12,5,1,7,1,0,8,0,0,1,8,575,574,North
12,12,North,South,East,West,Stop,1,1,1,5,12,5,1,7,1,0,7,0,0,1,9,574,573,West
11,12,North,South,East,West,Stop,1,1,1,5,12,5,1,7,1,0,6,0,0,1,10,573,572,West
10,12,North,South,East,West,Stop,1,1,1,5,12,5,1,7,1,0,5,0,0,1,11,572,571,West
9,12,North,South,East,West,Stop,1,1,1,5,12,5,1,7,1,0,4,0,0,1,12,571,570,West
8,12,North,South,East,West,Stop,1,1,1,5,12,5,1,7,1,0,3,0,0,1,13,570,569,West
7,12,North,South,East,West,Stop,1,1,1,5,12,5,1,7,1,0,2,0,0,1,14,569,568,West
12,10,North,South,East,West,Stop,4,5,6,5,12,13,6,13,12,11,9,5,3,1,7,0,-1,Stop
12,10,North,South,East,West,Stop,4,5,6,5,12,13,6,13,12,11,9,5,3,1,7,-1,-2,Stop
12,10,North,South,East,West,Stop,4,5,6,5,12,13,6,13,12,11,9,5,3,1,7,-2,-3,Stop
12,10,North,South,East,West,Stop,4,5,6,5,12,13,6,13,12,11,9,5,3,1,7,-3,-4,Stop
12,10,North,South,East,West,Stop,4,5,6,5,12,13,6,13,12,11,9,5,3,1,7,-4,-5,Stop
12,11,North,South,East,West,Stop,4,5,6,5,12,13,6,13,12,12,8,6,2,1,8,-5,-6,North
12,12,North,South,East,West,Stop,4,5,6,5,12,13,6,13,12,13,7,7,1,1,9,-6,193,North
13,12,North,South,East,West,Stop,3,5,6,5,12,13,6,7,1,14,8,6,0,1,8,193,192,East
13,11,North,South,East,West,Stop,3,5,6,5,12,13,6,7,1,13,9,5,0,1,7,192,191,South
13,10,North,South,East,West,Stop,3,5,6,5,12,13,6,7,1,12,10,4,0,1,6,191,190,South
13,9,North,South,East,West,Stop,3,5,6,5,12,13,6,7,1,11,11,3,0,1,5,190,189,South
13,8,North,South,East,West,Stop,3,5,6,5,12,13,6,7,1,10,12,2,0,1,6,189,188,South
13,7,North,South,East,West,Stop,3,5,6,5,12,13,6,7,1,9,13,1,0,1,7,188,387,South
13,6,North,South,East,West,Stop,2,5,6,5,12,5,1,7,1,8,14,0,0,1,8,387,386,South
12,6,North,South,East,West,Stop,2,5,6,5,12,5,1,7,1,7,13,0,0,1,9,386,385,West
11,6,North,South,East,West,Stop,2,5,6,5,12,5,1,7,1,6,12,0,0,1,10,385,384,West
10,6,North,South,East,West,Stop,2,5,6,5,12,5,1,7,1,5,11,0,0,1,11,384,383,West
9,6,North,South,East,West,Stop,2,5,6,5,12,5,1,7,1,4,10,0,0,1,12,383,382,West
8,6,North,South,East,West,Stop,2,5,6,5,12,5,1,7,1,3,9,0,0,1,13,382,381,West
7,6,North,South,East,West,Stop,2,5,6,5,12,5,1,7,1,2,8,0,0,1,14,381,380,West
6,6,North,South,East,West,Stop,2,5,6,5,12,5,1,7,1,1,7,0,0,1,15,380,579,West
5,6,North,South,East,West,Stop,1,1,1,5,12,5,1,7,1,0,6,0,0,1,16,579,578,West
5,7,North,South,East,West,Stop,1,1,1,5,12,5,1,7,1,0,5,0,0,1,15,578,577,North
5,8,North,South,East,West,Stop,1,1,1,5,12,5,1,7,1,0,4,0,0,1,14,577,576,North
5,9,None,South,East,West,Stop,1,1,1,5,12,5,1,7,1,0,3,0,0,1,13,576,575,North
6,9,North,South,East,West,Stop,1,1,1,5,12,5,1,7,1,0,4,0,0,1,12,575,574,East
6,10,North,South,East,None,Stop,1,1,1,5,12,5,1,7,1,0,3,0,0,1,13,574,573,North
6,11,North,South,East,West,Stop,1,1,1,5,12,5,1,7,1,0,2,0,0,1,14,573,572,North
5,11,North,None,East,West,Stop,1,1,1,5,12,5,1,7,1,0,1,0,0,1,15,572,0,West
12,10,North,South,East,West,Stop,4,5,6,5,12,13,6,13,12,11,9,5,3,1,7,0,-1,Stop
12,11,North,South,East,West,Stop,4,5,6,5,12,13,6,13,12,12,8,6,2,1,8,-1,-2,North
12,12,North,South,East,West,Stop,4,5,6,5,12,13,6,13,12,13,7,7,1,1,9,-2,-3,North
12,13,North,South,East,West,Stop,4,5,6,5,12,13,6,13,12,14,8,8,2,1,10,-3,-4,North
12,14,None,South,East,West,Stop,4,5,6,5,12,13,6,13,12,15,9,9,3,1,11,-4,-5,North
13,14,None,South,East,West,Stop,4,5,6,5,12,13,6,13,12,16,10,8,2,1,10,-5,-6,East
13,13,North,South,East,West,Stop,4,5,6,5,12,13,6,13,12,15,9,7,1,1,9,-6,193,South
13,12,North,South,East,West,Stop,3,5,6,5,12,13,6,7,1,14,8,6,0,1,8,193,192,South
13,11,North,South,East,West,Stop,3,5,6,5,12,13,6,7,1,13,9,5,0,1,7,192,191,South
13,10,North,South,East,West,Stop,3,5,6,5,12,13,6,7,1,12,10,4,0,1,6,191,190,South
13,9,North,South,East,West,Stop,3,5,6,5,12,13,6,7,1,11,11,3,0,1,5,190,189,South
13,8,North,South,East,West,Stop,3,5,6,5,12,13,6,7,1,10,12,2,0,1,6,189,188,South
