@relation 'pacmanInformation-weka.filters.unsupervised.attribute.Remove-R24-weka.filters.unsupervised.attribute.Remove-R7-8,17-22'

@attribute PacPosX numeric
@attribute PacPosY numeric
@attribute ActN {North,None}
@attribute ActSo {South,None}
@attribute ActE {East,None}
@attribute ActW {West,None}
@attribute G1PosX numeric
@attribute G1PosY numeric
@attribute G2PosX numeric
@attribute G2PosY numeric
@attribute G3PosX numeric
@attribute G3PosY numeric
@attribute G4PosX numeric
@attribute G4PosY numeric
@attribute Score numeric
@attribute PacDir {North,South,East,West,Stop,None}

@data
1,3,North,None,East,None,1,10,2,8,2,9,3,7,0,Stop
1,3,North,None,East,None,1,10,2,8,2,9,3,7,-1,Stop
1,3,North,None,East,None,1,10,2,8,2,9,3,7,-2,Stop
2,3,North,None,East,West,1,10,2,8,2,9,3,7,-3,East
2,4,North,South,East,West,1,10,2,8,2,9,3,7,-4,North
2,5,North,South,East,West,1,10,2,8,2,9,3,7,-5,North
2,6,North,South,East,West,1,10,2,8,2,9,3,7,-6,North
2,7,North,South,East,West,1,10,2,8,2,9,3,7,-7,North
2,8,North,South,East,West,1,10,3,1,2,9,3,7,192,North
2,9,North,South,East,West,1,10,3,1,5,1,3,7,391,North
1,9,North,South,East,None,1,10,3,1,5,1,3,7,490,West
1,10,None,South,East,None,1,1,3,1,5,1,3,7,689,North
2,10,None,South,East,West,1,1,3,1,5,1,3,7,688,East
3,10,None,South,East,West,1,1,3,1,5,1,3,7,687,East
3,9,North,South,East,West,1,1,3,1,5,1,3,7,786,South
1,3,North,None,East,None,1,10,2,8,2,9,3,7,0,Stop
1,3,North,None,East,None,1,10,2,8,2,9,3,7,-1,Stop
1,4,North,South,East,None,1,10,2,8,2,9,3,7,-2,North
1,5,North,South,East,None,1,10,2,8,2,9,3,7,-3,North
1,6,North,South,East,None,1,10,2,8,2,9,3,7,-4,North
2,6,North,South,East,West,1,10,2,8,2,9,3,7,-5,East
2,7,North,South,East,West,1,10,2,8,2,9,3,7,-6,North
2,8,North,South,East,West,1,10,3,1,2,9,3,7,193,North
2,9,North,South,East,West,1,10,3,1,5,1,3,7,392,North
2,10,None,South,East,West,1,10,3,1,5,1,3,7,391,North
1,10,None,South,East,None,1,1,3,1,5,1,3,7,590,West
1,9,North,South,East,None,1,1,3,1,5,1,3,7,689,South
1,8,North,South,East,None,1,1,3,1,5,1,3,7,688,South
1,7,North,South,East,None,1,1,3,1,5,1,3,7,787,South
1,3,North,None,East,None,1,10,2,8,2,9,3,7,0,Stop
1,3,North,None,East,None,1,10,2,8,2,9,3,7,-1,Stop
2,3,North,None,East,West,1,10,2,8,2,9,3,7,-2,East
3,3,North,None,East,West,1,10,2,8,2,9,3,7,97,East
3,4,North,South,East,West,1,10,2,8,2,9,3,7,96,North
3,5,North,South,East,West,1,10,2,8,2,9,3,7,195,North
3,6,North,South,East,West,1,10,2,8,2,9,3,7,194,North
3,7,North,South,East,West,1,10,2,8,2,9,7,1,393,North
2,7,North,South,East,West,1,10,2,8,2,9,7,1,392,West
2,8,North,South,East,West,1,10,3,1,2,9,7,1,591,North
2,9,North,South,East,West,1,10,3,1,5,1,7,1,790,North
1,3,North,None,East,None,1,10,2,8,2,9,3,7,0,Stop
1,3,North,None,East,None,1,10,2,8,2,9,3,7,-1,Stop
2,3,North,None,East,West,1,10,2,8,2,9,3,7,-2,East
3,3,North,None,East,West,1,10,2,8,2,9,3,7,97,East
3,4,North,South,East,West,1,10,2,8,2,9,3,7,96,North
3,5,North,South,East,West,1,10,2,8,2,9,3,7,195,North
3,6,North,South,East,West,1,10,2,8,2,9,3,7,194,North
3,7,North,South,East,West,1,10,2,8,2,9,7,1,393,North
2,7,North,South,East,West,1,10,2,8,2,9,7,1,392,West
2,8,North,South,East,West,1,10,3,1,2,9,7,1,591,North
2,9,North,South,East,West,1,10,3,1,5,1,7,1,790,North
1,3,North,None,East,None,1,10,2,8,2,9,3,7,0,Stop
1,3,North,None,East,None,1,10,2,8,2,9,3,7,-1,Stop
2,3,North,None,East,West,1,10,2,8,2,9,3,7,-2,East
3,3,North,None,East,West,1,10,2,8,2,9,3,7,97,East
3,4,North,South,East,West,1,10,2,8,2,9,3,7,96,North
3,5,North,South,East,West,1,10,2,8,2,9,3,7,195,North
3,6,North,South,East,West,1,10,2,8,2,9,3,7,194,North
3,7,North,South,East,West,1,10,2,8,2,9,7,1,393,North
2,7,North,South,East,West,1,10,2,8,2,9,7,1,392,West
2,8,North,South,East,West,1,10,3,1,2,9,7,1,591,North
2,9,North,South,East,West,1,10,3,1,5,1,7,1,790,North
1,3,North,None,East,None,1,10,2,8,2,9,3,7,0,Stop
1,3,North,None,East,None,1,10,2,8,2,9,3,7,-1,Stop
1,4,North,South,East,None,1,10,2,8,2,9,3,7,-2,North
1,5,North,South,East,None,1,10,2,8,2,9,3,7,-3,North
1,6,North,South,East,None,1,10,2,8,2,9,3,7,-4,North
1,7,North,South,East,None,1,10,2,8,2,9,3,7,95,North
2,7,North,South,East,West,1,10,2,8,2,9,3,7,94,East
2,8,North,South,East,West,1,10,3,1,2,9,3,7,293,North
2,9,North,South,East,West,1,10,3,1,5,1,3,7,492,North
2,10,None,South,East,West,1,10,3,1,5,1,3,7,491,North
1,10,None,South,East,None,1,1,3,1,5,1,3,7,690,West
1,9,North,South,East,None,1,1,3,1,5,1,3,7,789,South
1,8,North,South,East,None,1,1,3,1,5,1,3,7,788,South
1,7,North,South,East,None,1,1,3,1,5,1,3,7,787,South
1,3,North,None,East,None,1,10,2,8,2,9,3,7,0,Stop
1,3,North,None,East,None,1,10,2,8,2,9,3,7,-1,Stop
2,3,North,None,East,West,1,10,2,8,2,9,3,7,-2,East
3,3,North,None,East,West,1,10,2,8,2,9,3,7,97,East
3,4,North,South,East,West,1,10,2,8,2,9,3,7,96,North
3,5,North,South,East,West,1,10,2,8,2,9,3,7,195,North
3,6,North,South,East,West,1,10,2,8,2,9,3,7,194,North
3,7,North,South,East,West,1,10,2,8,2,9,7,1,393,North
2,7,North,South,East,West,1,10,2,8,2,9,7,1,392,West
2,8,North,South,East,West,1,10,3,1,2,9,7,1,591,North
2,9,North,South,East,West,1,10,3,1,5,1,7,1,790,North
1,3,North,None,East,None,1,10,2,8,2,9,3,7,0,Stop
1,3,North,None,East,None,1,10,2,8,2,9,3,7,-1,Stop
1,4,North,South,East,None,1,10,2,8,2,9,3,7,-2,North
1,5,North,South,East,None,1,10,2,8,2,9,3,7,-3,North
1,6,North,South,East,None,1,10,2,8,2,9,3,7,-4,North
1,7,North,South,East,None,1,10,2,8,2,9,3,7,95,North
2,7,North,South,East,West,1,10,2,8,2,9,3,7,94,East
3,7,North,South,East,West,1,10,2,8,2,9,7,1,293,East
3,8,North,South,East,West,1,10,2,8,2,9,7,1,292,North
