@relation 'pacmanInformation-weka.filters.unsupervised.attribute.Remove-R24-weka.filters.unsupervised.attribute.Remove-R7-8,17-22'

@attribute PacPosX numeric
@attribute PacPosY numeric
@attribute ActN {North,None}
@attribute ActSo {South,None}
@attribute ActE {East,None}
@attribute ActW {West,None}
@attribute G1PosX numeric
@attribute G1PosY numeric
@attribute G2PosX numeric
@attribute G2PosY numeric
@attribute G3PosX numeric
@attribute G3PosY numeric
@attribute G4PosX numeric
@attribute G4PosY numeric
@attribute Score numeric
@attribute PacDir {North,South,East,West,Stop,None}

@data
1,3,North,None,East,None,1,10,2,8,2,9,3,7,0,Stop
1,4,North,South,East,None,1,10,2,8,2,9,3,7,-1,North
2,4,North,South,East,West,1,10,2,8,2,9,3,7,-2,East
2,5,North,South,East,West,1,10,2,8,2,9,3,7,-3,North
2,6,North,South,East,West,1,10,2,8,2,9,3,7,-4,North
2,7,North,South,East,West,1,10,2,8,2,9,3,7,-5,North
2,8,North,South,East,West,1,10,3,1,2,9,3,7,194,North
2,9,North,South,East,West,1,10,3,1,5,1,3,7,393,North
2,10,None,South,East,West,1,10,3,1,5,1,3,7,392,North
1,10,None,South,East,None,1,1,3,1,5,1,3,7,591,West
1,9,North,South,East,None,1,1,3,1,5,1,3,7,690,South
2,9,North,South,East,West,1,1,3,1,5,1,3,7,689,East
2,8,North,South,East,West,1,1,3,1,5,1,3,7,688,South
1,3,North,None,East,None,1,10,2,8,2,9,3,7,0,Stop
1,4,North,South,East,None,1,10,2,8,2,9,3,7,-1,North
2,4,North,South,East,West,1,10,2,8,2,9,3,7,-2,East
2,5,North,South,East,West,1,10,2,8,2,9,3,7,-3,North
2,6,North,South,East,West,1,10,2,8,2,9,3,7,-4,North
2,7,North,South,East,West,1,10,2,8,2,9,3,7,-5,North
2,8,North,South,East,West,1,10,3,1,2,9,3,7,194,North
2,9,North,South,East,West,1,10,3,1,5,1,3,7,393,North
2,10,None,South,East,West,1,10,3,1,5,1,3,7,392,North
1,10,None,South,East,None,1,1,3,1,5,1,3,7,591,West
1,9,North,South,East,None,1,1,3,1,5,1,3,7,690,South
2,9,North,South,East,West,1,1,3,1,5,1,3,7,689,East
2,8,North,South,East,West,1,1,3,1,5,1,3,7,688,South
1,3,North,None,East,None,1,10,2,8,2,9,3,7,0,Stop
1,4,North,South,East,None,1,9,3,8,2,8,3,7,-1,North
1,5,North,South,East,None,2,9,2,8,2,8,3,7,-2,North
2,5,North,South,East,West,2,10,2,8,2,9,3,8,-3,East
2,6,North,South,East,West,2,9,2,7,2,8,3,9,-4,North
2,7,North,South,East,West,3,9,3,1,5,1,3,10,395,North
2,8,North,South,East,West,3,10,3,1,5,1,4,10,394,North
2,9,North,South,East,West,2,10,3,1,5,1,4,10,393,North
2,10,None,South,East,West,1,1,3,1,5,1,4,9,592,North
1,3,North,None,East,None,1,10,2,8,2,9,3,7,0,Stop
1,4,North,South,East,None,1,9,2,8,2,10,3,7,-1,North
2,4,North,South,East,West,1,8,2,8,2,10,2,7,-2,East
2,5,North,South,East,West,2,8,2,8,2,10,2,6,-3,North
2,6,North,South,East,West,3,8,2,7,2,10,7,1,196,North
2,7,North,South,East,West,3,7,3,1,2,10,7,1,395,North
3,7,North,South,East,West,1,1,3,1,3,10,7,1,594,East
3,8,North,South,East,West,1,1,3,1,4,10,7,1,593,North
1,3,North,None,East,None,1,10,2,8,2,9,3,7,0,Stop
1,4,North,South,East,None,2,10,2,7,2,8,3,7,-1,North
2,4,North,South,East,West,2,9,2,6,3,8,3,7,-2,East
2,5,North,South,East,West,2,8,3,6,2,8,3,6,-3,North
2,6,North,South,East,West,2,8,3,6,1,8,7,1,196,North
3,6,North,South,East,West,2,9,3,1,1,8,7,1,395,East
3,7,North,South,East,West,2,8,3,1,1,9,7,1,394,North
3,8,North,South,East,West,1,8,3,1,1,10,7,1,393,North
2,8,North,South,East,West,1,1,3,1,1,10,7,1,592,West
1,3,North,None,East,None,1,10,2,8,2,9,3,7,0,Stop
