@relation 'pacmanInformation-weka.filters.unsupervised.attribute.Remove-R24-weka.filters.unsupervised.attribute.Remove-R7-8,17-22'

@attribute PacPosX numeric
@attribute PacPosY numeric
@attribute ActN {North,None}
@attribute ActSo {South,None}
@attribute ActE {East,None}
@attribute ActW {West,None}
@attribute G1PosX numeric
@attribute G1PosY numeric
@attribute G2PosX numeric
@attribute G2PosY numeric
@attribute G3PosX numeric
@attribute G3PosY numeric
@attribute G4PosX numeric
@attribute G4PosY numeric
@attribute Score numeric
@attribute PacDir {North,South,East,West,Stop,None}

@data
12,10,North,South,East,West,5,6,5,12,13,6,13,12,0,Stop
12,10,North,South,East,West,5,6,5,12,13,6,13,12,-1,Stop
12,10,North,South,East,West,5,6,5,12,13,6,13,12,-2,Stop
13,10,North,South,East,West,5,6,5,12,13,6,13,12,-3,East
14,10,North,South,East,West,5,6,5,12,13,6,13,12,-4,East
14,11,North,South,East,West,5,6,5,12,13,6,13,12,-5,North
13,11,North,South,East,West,5,6,5,12,13,6,13,12,-6,West
12,11,North,South,East,West,5,6,5,12,13,6,13,12,-7,West
12,12,North,South,East,West,5,6,5,12,13,6,13,12,-8,North
13,12,North,South,East,West,5,6,5,12,13,6,7,1,191,East
14,12,North,South,East,West,5,6,5,12,13,6,7,1,190,East
14,11,North,South,East,West,5,6,5,12,13,6,7,1,189,South
14,10,North,South,East,West,5,6,5,12,13,6,7,1,188,South
14,9,North,South,East,West,5,6,5,12,13,6,7,1,187,South
14,8,North,South,East,West,5,6,5,12,13,6,7,1,186,South
14,7,North,South,East,West,5,6,5,12,13,6,7,1,185,South
13,7,North,South,East,West,5,6,5,12,13,6,7,1,184,West
12,7,North,South,East,West,5,6,5,12,13,6,7,1,183,West
12,6,North,South,East,West,5,6,5,12,13,6,7,1,182,South
13,6,North,South,East,West,5,6,5,12,5,1,7,1,381,East
14,6,North,South,East,West,5,6,5,12,5,1,7,1,380,East
13,6,North,South,East,West,5,6,5,12,5,1,7,1,379,West
12,6,North,South,East,West,5,6,5,12,5,1,7,1,378,West
11,6,North,South,East,West,5,6,5,12,5,1,7,1,377,West
10,6,North,South,East,West,5,6,5,12,5,1,7,1,376,West
9,6,North,South,East,West,5,6,5,12,5,1,7,1,375,West
8,6,North,South,East,West,5,6,5,12,5,1,7,1,374,West
7,6,North,South,East,West,5,6,5,12,5,1,7,1,373,West
6,6,North,South,East,West,5,6,5,12,5,1,7,1,372,West
5,6,North,South,East,West,1,1,5,12,5,1,7,1,571,West
5,7,North,South,East,West,1,1,5,12,5,1,7,1,570,North
5,8,North,South,East,West,1,1,5,12,5,1,7,1,569,North
5,9,None,South,East,West,1,1,5,12,5,1,7,1,568,North
6,9,North,South,East,West,1,1,5,12,5,1,7,1,567,East
6,10,North,South,East,None,1,1,5,12,5,1,7,1,566,North
6,11,North,South,East,West,1,1,5,12,5,1,7,1,565,North
5,11,North,None,East,West,1,1,5,12,5,1,7,1,564,West
12,10,North,South,East,West,5,6,5,12,13,6,13,12,0,Stop
12,11,North,South,East,West,5,6,5,12,13,6,13,12,-1,North
12,12,North,South,East,West,5,6,5,12,13,6,13,12,-2,North
12,13,North,South,East,West,5,6,5,12,13,6,13,12,-3,North
12,14,None,South,East,West,5,6,5,12,13,6,13,12,-4,North
12,14,None,South,East,West,5,6,5,12,13,6,13,12,-5,North
13,14,None,South,East,West,5,6,5,12,13,6,13,12,-6,East
14,14,None,South,East,West,5,6,5,12,13,6,13,12,-7,East
14,13,North,South,East,West,5,6,5,12,13,6,13,12,-8,South
14,12,North,South,East,West,5,6,5,12,13,6,13,12,-9,South
13,12,North,South,East,West,5,6,5,12,13,6,7,1,190,West
13,13,North,South,East,West,5,6,5,12,13,6,7,1,189,North
13,14,None,South,East,West,5,6,5,12,13,6,7,1,188,North
13,13,North,South,East,West,5,6,5,12,13,6,7,1,187,South
12,13,North,South,East,West,5,6,5,12,13,6,7,1,186,West
11,13,North,South,East,West,5,6,5,12,13,6,7,1,185,West
10,13,North,South,East,West,5,6,5,12,13,6,7,1,184,West
9,13,North,South,East,West,5,6,5,12,13,6,7,1,183,West
8,13,North,South,East,West,5,6,5,12,13,6,7,1,182,West
7,13,North,South,East,West,5,6,5,12,13,6,7,1,181,West
6,13,North,South,East,West,5,6,5,12,13,6,7,1,180,West
5,13,North,South,East,West,5,6,5,12,13,6,7,1,179,West
5,12,North,South,East,West,5,6,3,1,13,6,7,1,378,South
6,12,North,South,East,West,5,6,3,1,13,6,7,1,377,East
6,11,North,South,East,West,5,6,3,1,13,6,7,1,376,South
6,10,North,South,East,None,5,6,3,1,13,6,7,1,375,South
6,9,North,South,East,West,5,6,3,1,13,6,7,1,374,South
6,8,North,South,East,West,5,6,3,1,13,6,7,1,373,South
5,8,North,South,East,West,5,6,3,1,13,6,7,1,372,West
5,7,North,South,East,West,5,6,3,1,13,6,7,1,371,South
5,6,North,South,East,West,1,1,3,1,13,6,7,1,570,South
6,6,North,South,East,West,1,1,3,1,13,6,7,1,569,East
7,6,North,South,East,West,1,1,3,1,13,6,7,1,568,East
8,6,North,South,East,West,1,1,3,1,13,6,7,1,567,East
9,6,North,South,East,West,1,1,3,1,13,6,7,1,566,East
10,6,North,South,East,West,1,1,3,1,13,6,7,1,565,East
11,6,North,South,East,West,1,1,3,1,13,6,7,1,564,East
12,10,North,South,East,West,5,6,5,12,13,6,13,12,0,Stop
