@relation 'pacmanInformation-weka.filters.unsupervised.attribute.Remove-R7-8,17-22-weka.filters.unsupervised.attribute.Remove-R16'

@attribute PacPosX numeric
@attribute PacPosY numeric
@attribute ActN {North,None}
@attribute ActSo {South,None}
@attribute ActE {East,None}
@attribute ActW {West,None}
@attribute G1PosX numeric
@attribute G1PosY numeric
@attribute G2PosX numeric
@attribute G2PosY numeric
@attribute G3PosX numeric
@attribute G3PosY numeric
@attribute G4PosX numeric
@attribute G4PosY numeric
@attribute Score numeric
@attribute PacDir {North,South,East,West,Stop,None}

@data
12,9,North,South,East,West,5,6,5,12,13,6,13,12,-1,South
12,8,North,South,East,West,5,6,5,12,13,6,13,12,-2,South
12,7,North,South,East,West,5,6,5,12,13,6,13,12,-3,South
12,6,North,South,East,West,5,6,5,12,13,6,13,12,-4,South
13,6,North,South,East,West,5,6,5,12,5,1,13,12,195,East
14,6,North,South,East,West,5,6,5,12,5,1,13,12,194,East
13,6,North,South,East,West,5,6,5,12,5,1,13,12,193,West
12,6,North,South,East,West,5,6,5,12,5,1,13,12,192,West
12,7,North,South,East,West,5,6,5,12,5,1,13,12,191,North
12,8,North,South,East,West,5,6,5,12,5,1,13,12,190,North
12,9,North,South,East,West,5,6,5,12,5,1,13,12,189,North
12,10,North,South,East,West,5,6,5,12,5,1,13,12,188,North
13,10,North,South,East,West,5,6,5,12,5,1,13,12,187,East
13,11,North,South,East,West,5,6,5,12,5,1,13,12,186,North
13,12,North,South,East,West,5,6,5,12,5,1,7,1,385,North
12,12,North,South,East,West,5,6,5,12,5,1,7,1,384,West
11,12,North,South,East,West,5,6,5,12,5,1,7,1,383,West
10,12,North,South,East,West,5,6,5,12,5,1,7,1,382,West
9,12,North,South,East,West,5,6,5,12,5,1,7,1,381,West
8,12,North,South,East,West,5,6,5,12,5,1,7,1,380,West
7,12,North,South,East,West,5,6,5,12,5,1,7,1,379,West
6,12,North,South,East,West,5,6,5,12,5,1,7,1,378,West
5,12,North,South,East,West,5,6,3,1,5,1,7,1,577,West
6,12,North,South,East,West,5,6,3,1,5,1,7,1,576,East
7,12,North,South,East,West,5,6,3,1,5,1,7,1,575,East
7,11,North,South,East,West,5,6,3,1,5,1,7,1,574,South
7,10,North,South,East,West,5,6,3,1,5,1,7,1,573,South
7,9,North,South,East,West,5,6,3,1,5,1,7,1,572,South
7,8,North,South,East,West,5,6,3,1,5,1,7,1,571,South
7,7,North,South,East,West,5,6,3,1,5,1,7,1,570,South
7,6,North,South,East,West,5,6,3,1,5,1,7,1,569,South
6,6,North,South,East,West,5,6,3,1,5,1,7,1,568,West
12,10,North,South,East,West,5,6,5,12,13,6,13,12,0,Stop
11,10,North,South,East,West,5,6,5,12,13,6,13,12,-1,West
10,10,North,South,East,West,5,6,5,12,13,6,13,12,-2,West
9,10,North,South,East,West,5,6,5,12,13,6,13,12,-3,West
8,10,North,South,East,West,5,6,5,12,13,6,13,12,-4,West
8,11,North,South,East,West,5,6,5,12,13,6,13,12,-5,North
8,12,North,South,East,West,5,6,5,12,13,6,13,12,-6,North
7,12,North,South,East,West,5,6,5,12,13,6,13,12,-7,West
6,12,North,South,East,West,5,6,5,12,13,6,13,12,-8,West
5,12,North,South,East,West,5,6,3,1,13,6,13,12,191,West
6,12,North,South,East,West,5,6,3,1,13,6,13,12,190,East
7,12,North,South,East,West,5,6,3,1,13,6,13,12,189,East
8,12,North,South,East,West,5,6,3,1,13,6,13,12,188,East
9,12,North,South,East,West,5,6,3,1,13,6,13,12,187,East
10,12,North,South,East,West,5,6,3,1,13,6,13,12,186,East
11,12,North,South,East,West,5,6,3,1,13,6,13,12,185,East
12,12,North,South,East,West,5,6,3,1,13,6,13,12,184,East
13,12,North,South,East,West,5,6,3,1,13,6,7,1,383,East
13,11,North,South,East,West,5,6,3,1,13,6,7,1,382,South
13,10,North,South,East,West,5,6,3,1,13,6,7,1,381,South
13,9,North,South,East,West,5,6,3,1,13,6,7,1,380,South
13,8,North,South,East,West,5,6,3,1,13,6,7,1,379,South
13,7,North,South,East,West,5,6,3,1,13,6,7,1,378,South
13,6,North,South,East,West,5,6,3,1,5,1,7,1,577,South
12,6,North,South,East,West,5,6,3,1,5,1,7,1,576,West
11,6,North,South,East,West,5,6,3,1,5,1,7,1,575,West
10,6,North,South,East,West,5,6,3,1,5,1,7,1,574,West
9,6,North,South,East,West,5,6,3,1,5,1,7,1,573,West
8,6,North,South,East,West,5,6,3,1,5,1,7,1,572,West
7,6,North,South,East,West,5,6,3,1,5,1,7,1,571,West
6,6,North,South,East,West,5,6,3,1,5,1,7,1,570,West
12,10,North,South,East,West,5,6,5,12,13,6,13,12,0,Stop
11,10,North,South,East,West,5,6,5,12,13,6,13,12,-1,West
10,10,North,South,East,West,5,6,5,12,13,6,13,12,-2,West
9,10,North,South,East,West,5,6,5,12,13,6,13,12,-3,West
8,10,North,South,East,West,5,6,5,12,13,6,13,12,-4,West
8,9,North,South,East,West,5,6,5,12,13,6,13,12,-5,South
8,8,North,South,East,West,5,6,5,12,13,6,13,12,-6,South
7,8,North,South,East,West,5,6,5,12,13,6,13,12,-7,West
6,8,North,South,East,West,5,6,5,12,13,6,13,12,-8,West
5,8,North,South,East,West,5,6,5,12,13,6,13,12,-9,West
5,7,North,South,East,West,5,6,5,12,13,6,13,12,-10,South
5,6,North,South,East,West,1,1,5,12,13,6,13,12,189,South
6,6,North,South,East,West,1,1,5,12,13,6,13,12,188,East
7,6,North,South,East,West,1,1,5,12,13,6,13,12,187,East
8,6,North,South,East,West,1,1,5,12,13,6,13,12,186,East
9,6,North,South,East,West,1,1,5,12,13,6,13,12,185,East
10,6,North,South,East,West,1,1,5,12,13,6,13,12,184,East
11,6,North,South,East,West,1,1,5,12,13,6,13,12,183,East
12,6,North,South,East,West,1,1,5,12,13,6,13,12,182,East
13,6,North,South,East,West,1,1,5,12,5,1,13,12,381,East
13,7,North,South,East,West,1,1,5,12,5,1,13,12,380,North
13,8,North,South,East,West,1,1,5,12,5,1,13,12,379,North
13,9,North,South,East,West,1,1,5,12,5,1,13,12,378,North
