@relation 'pacmanInformation-weka.filters.unsupervised.attribute.Remove-R7-8,17-22-weka.filters.unsupervised.attribute.Remove-R16'

@attribute PacPosX numeric
@attribute PacPosY numeric
@attribute ActN {North,None}
@attribute ActSo {South,None}
@attribute ActE {East,None}
@attribute ActW {West,None}
@attribute G1PosX numeric
@attribute G1PosY numeric
@attribute G2PosX numeric
@attribute G2PosY numeric
@attribute G3PosX numeric
@attribute G3PosY numeric
@attribute G4PosX numeric
@attribute G4PosY numeric
@attribute Score numeric
@attribute PacDir {North,South,East,West,Stop,None}

@data
9,1,None,None,East,West,3,3,8,5,11,5,18,9,0,Stop
10,1,None,None,East,West,3,3,8,5,11,5,18,9,99,East
11,1,None,None,East,West,3,3,8,5,11,5,18,9,198,East
12,1,None,None,East,West,3,3,8,5,11,5,18,9,297,East
13,1,North,None,None,West,3,3,8,5,11,5,18,9,396,East
13,2,North,South,None,None,3,3,8,5,11,5,18,9,495,North
13,3,North,South,East,West,3,3,8,5,11,5,18,9,594,North
13,4,North,South,None,None,3,3,8,5,11,5,18,9,693,North
13,5,North,South,East,None,3,3,8,5,11,5,18,9,792,North
13,6,North,South,None,None,3,3,8,5,11,5,18,9,891,North
13,7,North,South,East,West,3,3,8,5,11,5,18,9,990,North
12,7,None,None,East,West,3,3,8,5,11,5,18,9,1089,West
11,7,None,None,East,West,3,3,8,5,11,5,18,9,1188,West
10,7,None,South,East,West,3,3,8,5,11,5,18,9,1287,West
10,6,North,South,None,West,3,3,8,5,11,5,18,9,1286,South
9,1,None,None,East,West,3,3,8,5,11,5,18,9,0,Stop
10,1,None,None,East,West,3,3,9,5,10,5,18,9,99,East
11,1,None,None,East,West,3,3,10,5,11,5,17,9,198,East
12,1,None,None,East,West,4,3,11,5,10,5,16,9,297,East
13,1,North,None,None,West,3,3,10,5,11,5,17,9,396,East
13,2,North,South,None,None,3,4,10,6,10,5,16,9,495,North
13,3,North,South,East,West,3,4,10,6,10,6,17,9,594,North
13,4,North,South,None,None,3,3,10,5,10,6,16,9,693,North
13,5,North,South,East,None,3,3,10,6,9,6,16,9,792,North
13,6,North,South,None,None,4,3,9,6,9,5,16,9,891,North
13,7,North,South,East,West,3,3,9,5,8,5,15,9,990,North
13,8,North,South,None,None,4,3,9,5,9,5,15,9,1089,North
13,9,None,South,None,West,5,3,9,6,8,5,15,9,1188,North
12,9,None,None,East,West,5,3,9,5,9,5,15,9,1287,West
