@relation pacmanInformation-weka.filters.unsupervised.attribute.Remove-R24

@attribute PacPosX numeric
@attribute PacPosY numeric
@attribute ActN {North,None}
@attribute ActSo {South,None}
@attribute ActE {East,None}
@attribute ActW {West,None}
@attribute ActS {Stop,None}
@attribute NumAgents numeric
@attribute G1PosX numeric
@attribute G1PosY numeric
@attribute G2PosX numeric
@attribute G2PosY numeric
@attribute G3PosX numeric
@attribute G3PosY numeric
@attribute G4PosX numeric
@attribute G4PosY numeric
@attribute DistG1 numeric
@attribute DistG2 numeric
@attribute DistG3 numeric
@attribute DistG4 numeric
@attribute NumDots numeric
@attribute DistDot numeric
@attribute Score numeric
@attribute PacDir {North,South,East,West,Stop,None}

@data
1,3,North,None,East,None,Stop,4,1,10,2,8,2,9,3,7,7,6,7,6,5,2,0,Stop
1,3,North,None,East,None,Stop,4,1,10,2,8,2,9,3,7,7,6,7,6,5,2,-1,Stop
1,3,North,None,East,None,Stop,4,1,10,2,8,2,9,3,7,7,6,7,6,5,2,-2,Stop
2,3,North,None,East,West,Stop,4,1,10,2,8,2,9,3,7,8,5,6,5,5,1,-3,East
2,4,North,South,East,West,Stop,4,1,10,2,8,2,9,3,7,7,4,5,4,5,2,-4,North
2,5,North,South,East,West,Stop,4,1,10,2,8,2,9,3,7,6,3,4,3,5,1,-5,North
2,6,North,South,East,West,Stop,4,1,10,2,8,2,9,3,7,5,2,3,2,5,2,-6,North
2,7,North,South,East,West,Stop,4,1,10,2,8,2,9,3,7,4,1,2,1,5,1,-7,North
2,8,North,South,East,West,Stop,3,1,10,3,1,2,9,3,7,3,0,1,2,5,2,192,North
2,9,North,South,East,West,Stop,2,1,10,3,1,5,1,3,7,2,0,0,3,5,1,391,North
1,9,North,South,East,None,Stop,2,1,10,3,1,5,1,3,7,1,0,0,4,4,2,490,West
1,10,None,South,East,None,Stop,1,1,1,3,1,5,1,3,7,0,0,0,5,4,3,689,North
2,10,None,South,East,West,Stop,1,1,1,3,1,5,1,3,7,0,0,0,4,4,2,688,East
3,10,None,South,East,West,Stop,1,1,1,3,1,5,1,3,7,0,0,0,3,4,1,687,East
3,9,North,South,East,West,Stop,1,1,1,3,1,5,1,3,7,0,0,0,2,3,4,786,South
1,3,North,None,East,None,Stop,4,1,10,2,8,2,9,3,7,7,6,7,6,5,2,0,Stop
1,3,North,None,East,None,Stop,4,1,10,2,8,2,9,3,7,7,6,7,6,5,2,-1,Stop
1,4,North,South,East,None,Stop,4,1,10,2,8,2,9,3,7,6,5,6,5,5,3,-2,North
1,5,North,South,East,None,Stop,4,1,10,2,8,2,9,3,7,5,4,5,4,5,2,-3,North
1,6,North,South,East,None,Stop,4,1,10,2,8,2,9,3,7,4,3,4,3,5,1,-4,North
2,6,North,South,East,West,Stop,4,1,10,2,8,2,9,3,7,5,2,3,2,5,2,-5,East
2,7,North,South,East,West,Stop,4,1,10,2,8,2,9,3,7,4,1,2,1,5,1,-6,North
2,8,North,South,East,West,Stop,3,1,10,3,1,2,9,3,7,3,0,1,2,5,2,193,North
2,9,North,South,East,West,Stop,2,1,10,3,1,5,1,3,7,2,0,0,3,5,1,392,North
2,10,None,South,East,West,Stop,2,1,10,3,1,5,1,3,7,1,0,0,4,5,2,391,North
1,10,None,South,East,None,Stop,1,1,1,3,1,5,1,3,7,0,0,0,5,5,1,590,West
1,9,North,South,East,None,Stop,1,1,1,3,1,5,1,3,7,0,0,0,4,4,2,689,South
1,8,North,South,East,None,Stop,1,1,1,3,1,5,1,3,7,0,0,0,3,4,1,688,South
1,7,North,South,East,None,Stop,1,1,1,3,1,5,1,3,7,0,0,0,2,3,4,787,South
1,3,North,None,East,None,Stop,4,1,10,2,8,2,9,3,7,7,6,7,6,5,2,0,Stop
1,3,North,None,East,None,Stop,4,1,10,2,8,2,9,3,7,7,6,7,6,5,2,-1,Stop
2,3,North,None,East,West,Stop,4,1,10,2,8,2,9,3,7,8,5,6,5,5,1,-2,East
3,3,North,None,East,West,Stop,4,1,10,2,8,2,9,3,7,9,6,7,4,4,2,97,East
3,4,North,South,East,West,Stop,4,1,10,2,8,2,9,3,7,8,5,6,3,4,1,96,North
3,5,North,South,East,West,Stop,4,1,10,2,8,2,9,3,7,7,4,5,2,3,4,195,North
3,6,North,South,East,West,Stop,4,1,10,2,8,2,9,3,7,6,3,4,1,3,3,194,North
3,7,North,South,East,West,Stop,3,1,10,2,8,2,9,7,1,5,2,3,0,3,2,393,North
2,7,North,South,East,West,Stop,3,1,10,2,8,2,9,7,1,4,1,2,0,3,1,392,West
2,8,North,South,East,West,Stop,2,1,10,3,1,2,9,7,1,3,0,1,0,3,2,591,North
2,9,North,South,East,West,Stop,1,1,10,3,1,5,1,7,1,2,0,0,0,3,1,790,North
1,3,North,None,East,None,Stop,4,1,10,2,8,2,9,3,7,7,6,7,6,5,2,0,Stop
1,3,North,None,East,None,Stop,4,1,10,2,8,2,9,3,7,7,6,7,6,5,2,-1,Stop
2,3,North,None,East,West,Stop,4,1,10,2,8,2,9,3,7,8,5,6,5,5,1,-2,East
3,3,North,None,East,West,Stop,4,1,10,2,8,2,9,3,7,9,6,7,4,4,2,97,East
3,4,North,South,East,West,Stop,4,1,10,2,8,2,9,3,7,8,5,6,3,4,1,96,North
3,5,North,South,East,West,Stop,4,1,10,2,8,2,9,3,7,7,4,5,2,3,4,195,North
3,6,North,South,East,West,Stop,4,1,10,2,8,2,9,3,7,6,3,4,1,3,3,194,North
3,7,North,South,East,West,Stop,3,1,10,2,8,2,9,7,1,5,2,3,0,3,2,393,North
2,7,North,South,East,West,Stop,3,1,10,2,8,2,9,7,1,4,1,2,0,3,1,392,West
2,8,North,South,East,West,Stop,2,1,10,3,1,2,9,7,1,3,0,1,0,3,2,591,North
2,9,North,South,East,West,Stop,1,1,10,3,1,5,1,7,1,2,0,0,0,3,1,790,North
1,3,North,None,East,None,Stop,4,1,10,2,8,2,9,3,7,7,6,7,6,5,2,0,Stop
1,3,North,None,East,None,Stop,4,1,10,2,8,2,9,3,7,7,6,7,6,5,2,-1,Stop
2,3,North,None,East,West,Stop,4,1,10,2,8,2,9,3,7,8,5,6,5,5,1,-2,East
3,3,North,None,East,West,Stop,4,1,10,2,8,2,9,3,7,9,6,7,4,4,2,97,East
3,4,North,South,East,West,Stop,4,1,10,2,8,2,9,3,7,8,5,6,3,4,1,96,North
3,5,North,South,East,West,Stop,4,1,10,2,8,2,9,3,7,7,4,5,2,3,4,195,North
3,6,North,South,East,West,Stop,4,1,10,2,8,2,9,3,7,6,3,4,1,3,3,194,North
3,7,North,South,East,West,Stop,3,1,10,2,8,2,9,7,1,5,2,3,0,3,2,393,North
2,7,North,South,East,West,Stop,3,1,10,2,8,2,9,7,1,4,1,2,0,3,1,392,West
2,8,North,South,East,West,Stop,2,1,10,3,1,2,9,7,1,3,0,1,0,3,2,591,North
2,9,North,South,East,West,Stop,1,1,10,3,1,5,1,7,1,2,0,0,0,3,1,790,North
1,3,North,None,East,None,Stop,4,1,10,2,8,2,9,3,7,7,6,7,6,5,2,0,Stop
1,3,North,None,East,None,Stop,4,1,10,2,8,2,9,3,7,7,6,7,6,5,2,-1,Stop
1,4,North,South,East,None,Stop,4,1,10,2,8,2,9,3,7,6,5,6,5,5,3,-2,North
1,5,North,South,East,None,Stop,4,1,10,2,8,2,9,3,7,5,4,5,4,5,2,-3,North
1,6,North,South,East,None,Stop,4,1,10,2,8,2,9,3,7,4,3,4,3,5,1,-4,North
1,7,North,South,East,None,Stop,4,1,10,2,8,2,9,3,7,3,2,3,2,4,2,95,North
2,7,North,South,East,West,Stop,4,1,10,2,8,2,9,3,7,4,1,2,1,4,3,94,East
2,8,North,South,East,West,Stop,3,1,10,3,1,2,9,3,7,3,0,1,2,4,2,293,North
2,9,North,South,East,West,Stop,2,1,10,3,1,5,1,3,7,2,0,0,3,4,1,492,North
2,10,None,South,East,West,Stop,2,1,10,3,1,5,1,3,7,1,0,0,4,4,2,491,North
1,10,None,South,East,None,Stop,1,1,1,3,1,5,1,3,7,0,0,0,5,4,1,690,West
