@relation pacmanInformation-weka.filters.unsupervised.attribute.Remove-R24

@attribute PacPosX numeric
@attribute PacPosY numeric
@attribute ActN {North,None}
@attribute ActSo {South,None}
@attribute ActE {East,None}
@attribute ActW {West,None}
@attribute ActS {Stop,None}
@attribute NumAgents numeric
@attribute G1PosX numeric
@attribute G1PosY numeric
@attribute G2PosX numeric
@attribute G2PosY numeric
@attribute G3PosX numeric
@attribute G3PosY numeric
@attribute G4PosX numeric
@attribute G4PosY numeric
@attribute DistG1 numeric
@attribute DistG2 numeric
@attribute DistG3 numeric
@attribute DistG4 numeric
@attribute NumDots numeric
@attribute DistDot numeric
@attribute Score numeric
@attribute PacDir {North,South,East,West,Stop,None}

@data
1,3,North,None,East,None,Stop,4,1,10,2,8,2,9,3,7,7,6,7,6,5,2,0,Stop
1,4,North,South,East,None,Stop,4,1,10,2,8,2,9,3,7,6,5,6,5,5,3,-1,North
2,4,North,South,East,West,Stop,4,1,10,2,8,2,9,3,7,7,4,5,4,5,2,-2,East
2,5,North,South,East,West,Stop,4,1,10,2,8,2,9,3,7,6,3,4,3,5,1,-3,North
2,6,North,South,East,West,Stop,4,1,10,2,8,2,9,3,7,5,2,3,2,5,2,-4,North
2,7,North,South,East,West,Stop,4,1,10,2,8,2,9,3,7,4,1,2,1,5,1,-5,North
2,8,North,South,East,West,Stop,3,1,10,3,1,2,9,3,7,3,0,1,2,5,2,194,North
2,9,North,South,East,West,Stop,2,1,10,3,1,5,1,3,7,2,0,0,3,5,1,393,North
2,10,None,South,East,West,Stop,2,1,10,3,1,5,1,3,7,1,0,0,4,5,2,392,North
1,10,None,South,East,None,Stop,1,1,1,3,1,5,1,3,7,0,0,0,5,5,1,591,West
1,9,North,South,East,None,Stop,1,1,1,3,1,5,1,3,7,0,0,0,4,4,2,690,South
2,9,North,South,East,West,Stop,1,1,1,3,1,5,1,3,7,0,0,0,3,4,1,689,East
2,8,North,South,East,West,Stop,1,1,1,3,1,5,1,3,7,0,0,0,2,4,2,688,South
1,3,North,None,East,None,Stop,4,1,10,2,8,2,9,3,7,7,6,7,6,5,2,0,Stop
1,4,North,South,East,None,Stop,4,1,10,2,8,2,9,3,7,6,5,6,5,5,3,-1,North
2,4,North,South,East,West,Stop,4,1,10,2,8,2,9,3,7,7,4,5,4,5,2,-2,East
2,5,North,South,East,West,Stop,4,1,10,2,8,2,9,3,7,6,3,4,3,5,1,-3,North
2,6,North,South,East,West,Stop,4,1,10,2,8,2,9,3,7,5,2,3,2,5,2,-4,North
2,7,North,South,East,West,Stop,4,1,10,2,8,2,9,3,7,4,1,2,1,5,1,-5,North
2,8,North,South,East,West,Stop,3,1,10,3,1,2,9,3,7,3,0,1,2,5,2,194,North
2,9,North,South,East,West,Stop,2,1,10,3,1,5,1,3,7,2,0,0,3,5,1,393,North
2,10,None,South,East,West,Stop,2,1,10,3,1,5,1,3,7,1,0,0,4,5,2,392,North
1,10,None,South,East,None,Stop,1,1,1,3,1,5,1,3,7,0,0,0,5,5,1,591,West
1,9,North,South,East,None,Stop,1,1,1,3,1,5,1,3,7,0,0,0,4,4,2,690,South
2,9,North,South,East,West,Stop,1,1,1,3,1,5,1,3,7,0,0,0,3,4,1,689,East
2,8,North,South,East,West,Stop,1,1,1,3,1,5,1,3,7,0,0,0,2,4,2,688,South
1,3,North,None,East,None,Stop,4,1,10,2,8,2,9,3,7,7,6,7,6,5,2,0,Stop
1,4,North,South,East,None,Stop,4,1,9,3,8,2,8,3,7,5,6,5,5,5,3,-1,North
1,5,North,South,East,None,Stop,4,2,9,2,8,2,8,3,7,5,4,4,5,5,2,-2,North
2,5,North,South,East,West,Stop,4,2,10,2,8,2,9,3,8,5,3,4,5,5,1,-3,East
2,6,North,South,East,West,Stop,4,2,9,2,7,2,8,3,9,3,1,2,5,5,2,-4,North
2,7,North,South,East,West,Stop,2,3,9,3,1,5,1,3,10,3,0,0,5,5,1,395,North
2,8,North,South,East,West,Stop,2,3,10,3,1,5,1,4,10,3,0,0,4,5,2,394,North
2,9,North,South,East,West,Stop,2,2,10,3,1,5,1,4,10,1,0,0,2,5,1,393,North
2,10,None,South,East,West,Stop,1,1,1,3,1,5,1,4,9,0,0,0,3,5,2,592,North
1,3,North,None,East,None,Stop,4,1,10,2,8,2,9,3,7,7,6,7,6,5,2,0,Stop
1,4,North,South,East,None,Stop,4,1,9,2,8,2,10,3,7,5,5,7,4,5,3,-1,North
2,4,North,South,East,West,Stop,4,1,8,2,8,2,10,2,7,5,4,6,2,5,2,-2,East
2,5,North,South,East,West,Stop,4,2,8,2,8,2,10,2,6,3,3,5,1,5,1,-3,North
2,6,North,South,East,West,Stop,3,3,8,2,7,2,10,7,1,3,1,4,0,5,2,196,North
2,7,North,South,East,West,Stop,2,3,7,3,1,2,10,7,1,1,0,3,0,5,1,395,North
3,7,North,South,East,West,Stop,1,1,1,3,1,3,10,7,1,0,0,3,0,5,2,594,East
3,8,North,South,East,West,Stop,1,1,1,3,1,4,10,7,1,0,0,3,0,5,1,593,North
1,3,North,None,East,None,Stop,4,1,10,2,8,2,9,3,7,7,6,7,6,5,2,0,Stop
1,4,North,South,East,None,Stop,4,2,10,2,7,2,8,3,7,7,4,5,5,5,3,-1,North
2,4,North,South,East,West,Stop,4,2,9,2,6,3,8,3,7,5,2,5,3,5,2,-2,East
2,5,North,South,East,West,Stop,4,2,8,3,6,2,8,3,6,3,2,3,1,5,1,-3,North
