@relation pacmanInformation-weka.filters.unsupervised.attribute.Remove-R24

@attribute PacPosX numeric
@attribute PacPosY numeric
@attribute ActN {North,None}
@attribute ActSo {South,None}
@attribute ActE {East,None}
@attribute ActW {West,None}
@attribute ActS {Stop,None}
@attribute NumAgents numeric
@attribute G1PosX numeric
@attribute G1PosY numeric
@attribute G2PosX numeric
@attribute G2PosY numeric
@attribute G3PosX numeric
@attribute G3PosY numeric
@attribute G4PosX numeric
@attribute G4PosY numeric
@attribute DistG1 numeric
@attribute DistG2 numeric
@attribute DistG3 numeric
@attribute DistG4 numeric
@attribute NumDots numeric
@attribute DistDot numeric
@attribute Score numeric
@attribute PacDir {North,South,East,West,Stop,None}

@data
12,10,North,South,East,West,Stop,4,5,6,5,12,13,6,13,12,11,9,5,3,1,7,0,Stop
12,10,North,South,East,West,Stop,4,5,6,5,12,13,6,13,12,11,9,5,3,1,7,-1,Stop
12,10,North,South,East,West,Stop,4,5,6,5,12,13,6,13,12,11,9,5,3,1,7,-2,Stop
13,10,North,South,East,West,Stop,4,5,6,5,12,13,6,13,12,12,10,4,2,1,6,-3,East
14,10,North,South,East,West,Stop,4,5,6,5,12,13,6,13,12,13,11,5,3,1,5,-4,East
14,11,North,South,East,West,Stop,4,5,6,5,12,13,6,13,12,14,10,6,2,1,6,-5,North
13,11,North,South,East,West,Stop,4,5,6,5,12,13,6,13,12,13,9,5,1,1,7,-6,West
12,11,North,South,East,West,Stop,4,5,6,5,12,13,6,13,12,12,8,6,2,1,8,-7,West
12,12,North,South,East,West,Stop,4,5,6,5,12,13,6,13,12,13,7,7,1,1,9,-8,North
13,12,North,South,East,West,Stop,3,5,6,5,12,13,6,7,1,14,8,6,0,1,8,191,East
14,12,North,South,East,West,Stop,3,5,6,5,12,13,6,7,1,15,9,7,0,1,7,190,East
14,11,North,South,East,West,Stop,3,5,6,5,12,13,6,7,1,14,10,6,0,1,6,189,South
14,10,North,South,East,West,Stop,3,5,6,5,12,13,6,7,1,13,11,5,0,1,5,188,South
14,9,North,South,East,West,Stop,3,5,6,5,12,13,6,7,1,12,12,4,0,1,4,187,South
14,8,North,South,East,West,Stop,3,5,6,5,12,13,6,7,1,11,13,3,0,1,5,186,South
14,7,North,South,East,West,Stop,3,5,6,5,12,13,6,7,1,10,14,2,0,1,6,185,South
13,7,North,South,East,West,Stop,3,5,6,5,12,13,6,7,1,9,13,1,0,1,7,184,West
12,7,North,South,East,West,Stop,3,5,6,5,12,13,6,7,1,8,12,2,0,1,8,183,West
12,6,North,South,East,West,Stop,3,5,6,5,12,13,6,7,1,7,13,1,0,1,9,182,South
13,6,North,South,East,West,Stop,2,5,6,5,12,5,1,7,1,8,14,0,0,1,8,381,East
