@relation pacmanInformation-weka.filters.unsupervised.attribute.Remove-R24

@attribute PacPosX numeric
@attribute PacPosY numeric
@attribute ActN {North,None}
@attribute ActSo {South,None}
@attribute ActE {East,None}
@attribute ActW {West,None}
@attribute ActS {Stop,None}
@attribute NumAgents numeric
@attribute G1PosX numeric
@attribute G1PosY numeric
@attribute G2PosX numeric
@attribute G2PosY numeric
@attribute G3PosX numeric
@attribute G3PosY numeric
@attribute G4PosX numeric
@attribute G4PosY numeric
@attribute DistG1 numeric
@attribute DistG2 numeric
@attribute DistG3 numeric
@attribute DistG4 numeric
@attribute NumDots numeric
@attribute DistDot numeric
@attribute Score numeric
@attribute PacDir {North,South,East,West,Stop,None}

@data
9,1,None,None,East,West,Stop,4,3,3,8,5,11,5,18,9,8,5,6,17,95,1,0,Stop
10,1,None,None,East,West,Stop,4,3,3,8,5,11,5,18,9,9,6,5,16,94,1,99,East
11,1,None,None,East,West,Stop,4,3,3,8,5,11,5,18,9,10,7,4,15,93,1,198,East
12,1,None,None,East,West,Stop,4,3,3,8,5,11,5,18,9,11,8,5,14,92,1,297,East
13,1,North,None,None,West,Stop,4,3,3,8,5,11,5,18,9,12,9,6,13,91,1,396,East
13,2,North,South,None,None,Stop,4,3,3,8,5,11,5,18,9,11,8,5,12,90,1,495,North
13,3,North,South,East,West,Stop,4,3,3,8,5,11,5,18,9,10,7,4,11,89,1,594,North
13,4,North,South,None,None,Stop,4,3,3,8,5,11,5,18,9,11,6,3,10,88,1,693,North
13,5,North,South,East,None,Stop,4,3,3,8,5,11,5,18,9,12,5,2,9,87,1,792,North
13,6,North,South,None,None,Stop,4,3,3,8,5,11,5,18,9,13,6,3,8,86,1,891,North
13,7,North,South,East,West,Stop,4,3,3,8,5,11,5,18,9,14,7,4,7,85,1,990,North
12,7,None,None,East,West,Stop,4,3,3,8,5,11,5,18,9,13,6,3,8,84,1,1089,West
11,7,None,None,East,West,Stop,4,3,3,8,5,11,5,18,9,12,5,2,9,83,1,1188,West
10,7,None,South,East,West,Stop,4,3,3,8,5,11,5,18,9,11,4,3,10,82,1,1287,West
10,6,North,South,None,West,Stop,4,3,3,8,5,11,5,18,9,10,3,2,11,82,2,1286,South
9,1,None,None,East,West,Stop,4,3,3,8,5,11,5,18,9,8,5,6,17,95,1,0,Stop
10,1,None,None,East,West,Stop,4,3,4,8,5,11,5,18,9,10,6,5,15,94,1,99,East
11,1,None,None,East,West,Stop,4,3,4,9,5,11,5,17,9,11,6,4,13,93,1,198,East
12,1,None,None,East,West,Stop,4,3,5,10,5,11,5,16,9,13,6,5,11,92,1,297,East
13,1,North,None,None,West,Stop,4,3,6,10,5,10,5,15,9,15,7,7,10,91,1,396,East
13,2,North,South,None,None,Stop,4,3,7,10,6,10,6,15,9,15,7,7,8,90,1,495,North
13,3,North,South,East,West,Stop,4,3,6,10,6,10,6,15,8,13,6,6,8,89,1,594,North
13,4,North,South,None,None,Stop,4,3,6,9,6,10,5,15,9,12,6,4,7,88,1,693,North
13,5,North,South,East,None,Stop,4,3,5,9,6,9,5,15,9,10,5,4,5,87,1,792,North
13,6,North,South,None,None,Stop,4,3,5,9,5,8,5,15,8,11,5,6,4,86,1,891,North
13,7,North,South,East,West,Stop,4,3,5,9,5,8,5,15,8,12,6,7,4,85,1,990,North
13,8,North,South,None,None,Stop,4,3,4,8,5,9,5,15,9,14,8,7,4,84,1,1089,North
13,9,None,South,None,West,Stop,4,3,3,8,5,9,6,16,9,16,9,7,3,83,1,1188,North
12,9,None,None,East,West,Stop,4,4,3,8,5,10,6,16,9,14,8,5,3,82,1,1287,West
11,9,None,None,East,West,Stop,4,4,3,9,5,10,6,15,9,13,6,4,5,81,1,1386,West
10,9,None,None,East,West,Stop,4,4,3,10,5,9,6,16,9,12,4,4,5,80,1,1485,West
9,9,None,None,East,West,Stop,4,3,3,9,5,9,6,15,9,12,4,3,7,79,1,1584,West
8,9,None,None,East,West,Stop,4,3,4,9,5,10,6,15,8,10,5,5,9,78,1,1683,West
7,9,None,None,East,West,Stop,4,3,5,10,5,9,6,15,7,8,7,5,9,77,1,1782,West
6,9,None,South,East,None,Stop,4,3,5,10,5,10,6,15,8,7,8,7,11,76,1,1881,West
6,8,North,South,None,None,Stop,4,2,5,10,5,9,6,15,7,7,7,5,9,75,1,1980,South
6,7,North,South,East,West,Stop,4,2,5,10,5,9,7,14,7,6,6,3,8,74,1,2079,South
7,7,None,None,East,West,Stop,4,1,5,10,5,9,7,14,7,8,5,2,8,73,1,2178,East
8,7,None,None,East,West,Stop,4,2,5,10,6,10,7,15,7,8,3,2,7,72,1,2277,East
9,7,None,South,East,West,Stop,3,3,5,9,6,5,1,15,7,8,1,0,7,71,1,2576,East
9,6,North,South,East,None,Stop,2,3,6,4,1,4,1,15,8,6,0,0,7,71,2,2775,South
9,5,North,None,East,West,Stop,2,3,7,4,2,3,1,15,7,8,8,0,7,71,2,2774,South
10,5,North,None,East,West,Stop,2,4,7,4,3,2,1,14,7,8,8,0,7,71,2,2773,East
10,6,North,South,None,West,Stop,2,4,7,5,3,1,1,15,7,7,8,0,7,71,1,2772,North
9,6,North,South,East,None,Stop,2,3,7,4,3,1,1,15,8,7,8,0,9,71,2,2771,West
9,7,None,South,East,West,Stop,2,4,7,5,3,2,1,15,9,5,8,0,9,71,1,2770,North
8,7,None,None,East,West,Stop,2,4,8,5,3,3,1,16,9,5,7,0,11,71,2,2769,West
7,7,None,None,East,West,Stop,2,4,7,5,3,2,1,17,9,3,6,0,11,71,2,2768,West
6,7,North,South,East,West,Stop,2,5,7,4,3,2,1,16,9,1,6,0,13,71,1,2767,West
5,7,None,None,East,West,Stop,1,2,1,3,3,3,1,17,9,0,6,0,15,70,1,3066,West
4,7,North,None,East,West,Stop,1,3,1,4,3,2,1,18,9,0,4,0,16,69,1,3165,West
3,7,None,South,East,None,Stop,1,3,1,4,3,1,1,18,9,0,5,0,16,68,1,3264,West
3,6,North,South,None,None,Stop,1,2,1,4,3,1,2,18,8,0,4,6,18,67,1,3363,South
3,5,North,South,East,West,Stop,1,2,1,5,3,1,2,18,9,0,4,5,18,66,1,3462,South
3,4,North,South,None,None,Stop,1,3,1,4,3,1,3,17,9,0,2,3,19,65,2,3561,South
3,3,North,None,East,None,Stop,1,3,1,4,3,1,4,17,9,0,1,3,19,65,1,3560,South
4,3,None,South,East,West,Stop,1,3,1,4,1,1,3,16,9,0,0,3,19,64,1,3859,East
5,3,None,None,East,West,Stop,1,4,1,3,1,1,4,17,9,0,0,5,18,63,1,3958,East
6,3,North,South,East,West,Stop,1,4,1,2,1,1,5,17,9,0,0,7,17,62,1,4057,East
6,4,North,South,None,None,Stop,1,3,1,3,1,1,4,17,9,0,0,5,15,61,1,4156,North
6,5,North,South,None,West,Stop,1,4,1,2,1,1,3,16,9,0,0,7,15,60,1,4255,North
5,5,None,None,East,West,Stop,1,4,1,1,1,1,4,17,9,0,0,5,15,59,1,4354,West
4,5,None,None,East,West,Stop,1,4,1,2,1,1,5,16,9,0,0,3,15,58,2,4453,West
3,5,North,South,East,West,Stop,1,3,1,1,1,2,5,15,9,0,0,1,15,58,1,4452,West
2,5,None,None,East,West,Stop,1,4,1,1,1,4,1,15,8,0,0,0,17,57,1,4751,West
1,5,North,South,East,None,Stop,1,4,2,1,2,3,1,15,9,6,3,0,19,56,1,4850,West
1,4,North,South,None,None,Stop,1,4,1,1,2,3,1,16,9,0,2,0,19,55,1,4949,South
1,3,North,South,None,None,Stop,1,4,2,1,1,2,1,15,9,4,0,0,19,54,1,5048,South
1,2,North,South,None,None,Stop,1,4,3,3,1,1,1,15,8,4,0,0,19,53,1,5347,South
1,1,North,None,East,None,Stop,1,4,2,2,1,6,1,15,7,4,0,0,19,52,1,5646,South
2,1,None,None,East,West,Stop,1,4,1,3,1,6,1,14,7,0,0,0,18,51,1,5945,East
3,1,None,None,East,West,Stop,1,1,1,2,1,6,2,14,7,0,0,4,18,50,1,6444,East
4,1,North,None,None,West,Stop,1,2,1,2,1,6,1,15,7,0,0,0,18,49,1,6543,East
4,2,North,South,None,None,Stop,1,1,1,3,1,6,2,16,7,0,0,2,16,48,2,6642,North
4,3,None,South,East,West,Stop,1,1,2,3,1,6,3,15,7,4,0,2,15,48,3,6641,North
5,3,None,None,East,West,Stop,1,1,3,2,1,7,3,15,7,4,0,2,13,48,2,6640,East
6,3,North,South,East,West,Stop,1,1,4,3,1,7,3,14,7,6,0,1,11,48,1,6639,East
7,3,None,None,East,West,Stop,1,1,3,4,1,6,1,13,7,6,0,0,9,47,1,6938,East
8,3,None,None,East,West,Stop,1,1,3,4,1,6,2,12,7,7,0,3,7,46,1,7037,East
9,3,None,None,East,West,Stop,1,1,2,3,1,6,1,11,7,9,0,0,5,45,1,7136,East
10,3,None,None,East,West,Stop,1,1,2,3,1,6,1,10,7,10,0,0,4,44,1,7235,East
11,3,None,None,East,West,Stop,1,1,2,3,1,6,2,10,7,11,0,6,5,43,1,7334,East
12,3,None,None,East,West,Stop,1,1,3,4,1,6,1,10,7,11,0,0,5,42,2,7433,East
13,3,North,South,East,West,Stop,1,1,4,4,1,6,2,11,7,13,0,8,5,42,1,7432,East
13,4,North,South,None,None,Stop,1,1,4,4,2,6,3,12,7,12,11,8,3,42,2,7431,North
13,5,North,South,East,None,Stop,1,1,3,4,3,5,3,13,7,14,11,10,3,42,1,7430,North
13,6,North,South,None,None,Stop,1,1,4,4,3,4,3,13,8,14,12,12,3,42,2,7429,North
9,1,None,None,East,West,Stop,4,3,3,8,5,11,5,18,9,8,5,6,17,95,1,0,Stop
10,1,None,None,East,West,Stop,4,3,3,9,5,10,5,18,9,9,5,4,15,94,1,99,East
11,1,None,None,East,West,Stop,4,3,4,10,5,9,5,18,8,11,5,6,14,93,1,198,East
12,1,None,None,East,West,Stop,4,3,5,10,5,9,6,18,8,13,6,8,13,92,1,297,East
13,1,North,None,None,West,Stop,4,3,6,11,5,9,6,18,8,15,6,9,11,91,1,396,East
13,2,North,South,None,None,Stop,4,3,6,10,5,9,5,18,7,14,6,7,11,90,1,495,North
13,3,North,South,East,West,Stop,4,3,6,9,5,8,5,18,8,13,6,7,11,89,1,594,North
13,4,North,South,None,None,Stop,4,3,6,9,6,9,5,18,9,12,6,5,9,88,1,693,North
13,5,North,South,East,None,Stop,4,3,5,9,5,9,6,17,9,10,4,5,9,87,1,792,North
13,6,North,South,None,None,Stop,4,3,5,10,5,9,6,18,9,11,4,4,8,86,1,891,North
13,7,North,South,East,West,Stop,4,3,6,9,5,9,5,18,9,11,6,6,7,85,1,990,North
12,7,None,None,East,West,Stop,4,3,7,9,6,9,5,18,9,9,4,5,7,84,1,1089,West
11,7,None,None,East,West,Stop,4,3,7,9,6,10,5,17,9,8,3,3,8,83,1,1188,West
10,7,None,South,East,West,Stop,4,4,7,9,5,10,5,17,9,6,3,2,10,82,1,1287,West
10,6,North,South,None,West,Stop,4,5,7,8,5,9,5,18,9,6,3,2,10,82,2,1286,South
9,6,North,South,East,None,Stop,4,6,7,9,5,9,5,18,8,4,1,1,11,82,1,1285,West
9,5,North,None,East,West,Stop,2,5,7,3,1,4,1,18,8,6,0,0,13,82,2,1684,South
