@relation pacmanInformation-weka.filters.unsupervised.attribute.Remove-R24

@attribute PacPosX numeric
@attribute PacPosY numeric
@attribute ActN {North,None}
@attribute ActSo {South,None}
@attribute ActE {East,None}
@attribute ActW {West,None}
@attribute ActS {Stop,None}
@attribute NumAgents numeric
@attribute G1PosX numeric
@attribute G1PosY numeric
@attribute G2PosX numeric
@attribute G2PosY numeric
@attribute G3PosX numeric
@attribute G3PosY numeric
@attribute G4PosX numeric
@attribute G4PosY numeric
@attribute DistG1 numeric
@attribute DistG2 numeric
@attribute DistG3 numeric
@attribute DistG4 numeric
@attribute NumDots numeric
@attribute DistDot numeric
@attribute Score numeric
@attribute PacDir {North,South,East,West,Stop,None}

@data
12,9,North,South,East,West,Stop,4,5,6,5,12,13,6,13,12,10,10,4,4,1,6,-1,South
12,8,North,South,East,West,Stop,4,5,6,5,12,13,6,13,12,9,11,3,5,1,7,-2,South
12,7,North,South,East,West,Stop,4,5,6,5,12,13,6,13,12,8,12,2,6,1,8,-3,South
12,6,North,South,East,West,Stop,4,5,6,5,12,13,6,13,12,7,13,1,7,1,9,-4,South
13,6,North,South,East,West,Stop,3,5,6,5,12,5,1,13,12,8,14,0,6,1,8,195,East
14,6,North,South,East,West,Stop,3,5,6,5,12,5,1,13,12,9,15,0,7,1,7,194,East
13,6,North,South,East,West,Stop,3,5,6,5,12,5,1,13,12,8,14,0,6,1,8,193,West
12,6,North,South,East,West,Stop,3,5,6,5,12,5,1,13,12,7,13,0,7,1,9,192,West
12,7,North,South,East,West,Stop,3,5,6,5,12,5,1,13,12,8,12,0,6,1,8,191,North
12,8,North,South,East,West,Stop,3,5,6,5,12,5,1,13,12,9,11,0,5,1,7,190,North
12,9,North,South,East,West,Stop,3,5,6,5,12,5,1,13,12,10,10,0,4,1,6,189,North
12,10,North,South,East,West,Stop,3,5,6,5,12,5,1,13,12,11,9,0,3,1,7,188,North
13,10,North,South,East,West,Stop,3,5,6,5,12,5,1,13,12,12,10,0,2,1,6,187,East
13,11,North,South,East,West,Stop,3,5,6,5,12,5,1,13,12,13,9,0,1,1,7,186,North
13,12,North,South,East,West,Stop,2,5,6,5,12,5,1,7,1,14,8,0,0,1,8,385,North
12,12,North,South,East,West,Stop,2,5,6,5,12,5,1,7,1,13,7,0,0,1,9,384,West
11,12,North,South,East,West,Stop,2,5,6,5,12,5,1,7,1,12,6,0,0,1,10,383,West
10,12,North,South,East,West,Stop,2,5,6,5,12,5,1,7,1,11,5,0,0,1,11,382,West
9,12,North,South,East,West,Stop,2,5,6,5,12,5,1,7,1,10,4,0,0,1,12,381,West
8,12,North,South,East,West,Stop,2,5,6,5,12,5,1,7,1,9,3,0,0,1,13,380,West
7,12,North,South,East,West,Stop,2,5,6,5,12,5,1,7,1,8,2,0,0,1,14,379,West
6,12,North,South,East,West,Stop,2,5,6,5,12,5,1,7,1,7,1,0,0,1,15,378,West
5,12,North,South,East,West,Stop,1,5,6,3,1,5,1,7,1,6,0,0,0,1,16,577,West
6,12,North,South,East,West,Stop,1,5,6,3,1,5,1,7,1,7,0,0,0,1,15,576,East
7,12,North,South,East,West,Stop,1,5,6,3,1,5,1,7,1,8,0,0,0,1,14,575,East
7,11,North,South,East,West,Stop,1,5,6,3,1,5,1,7,1,7,0,0,0,1,13,574,South
7,10,North,South,East,West,Stop,1,5,6,3,1,5,1,7,1,6,0,0,0,1,12,573,South
7,9,North,South,East,West,Stop,1,5,6,3,1,5,1,7,1,5,0,0,0,1,11,572,South
7,8,North,South,East,West,Stop,1,5,6,3,1,5,1,7,1,4,0,0,0,1,12,571,South
7,7,North,South,East,West,Stop,1,5,6,3,1,5,1,7,1,3,0,0,0,1,13,570,South
