@relation pacmanInformation-weka.filters.unsupervised.attribute.Remove-R24

@attribute PacPosX numeric
@attribute PacPosY numeric
@attribute ActN {North,None}
@attribute ActSo {South,None}
@attribute ActE {East,None}
@attribute ActW {West,None}
@attribute ActS {Stop,None}
@attribute NumAgents numeric
@attribute G1PosX numeric
@attribute G1PosY numeric
@attribute G2PosX numeric
@attribute G2PosY numeric
@attribute G3PosX numeric
@attribute G3PosY numeric
@attribute G4PosX numeric
@attribute G4PosY numeric
@attribute DistG1 numeric
@attribute DistG2 numeric
@attribute DistG3 numeric
@attribute DistG4 numeric
@attribute NumDots numeric
@attribute DistDot numeric
@attribute Score numeric
@attribute PacDir {North,South,East,West,Stop,None}

@data
9,1,None,None,East,West,Stop,4,3,3,8,5,11,5,18,9,8,5,6,17,95,1,0,Stop
10,1,None,None,East,West,Stop,4,3,3,8,5,11,5,18,9,9,6,5,16,94,1,99,East
11,1,None,None,East,West,Stop,4,3,3,8,5,11,5,18,9,10,7,4,15,93,1,198,East
12,1,None,None,East,West,Stop,4,3,3,8,5,11,5,18,9,11,8,5,14,92,1,297,East
13,1,North,None,None,West,Stop,4,3,3,8,5,11,5,18,9,12,9,6,13,91,1,396,East
13,2,North,South,None,None,Stop,4,3,3,8,5,11,5,18,9,11,8,5,12,90,1,495,North
13,3,North,South,East,West,Stop,4,3,3,8,5,11,5,18,9,10,7,4,11,89,1,594,North
13,4,North,South,None,None,Stop,4,3,3,8,5,11,5,18,9,11,6,3,10,88,1,693,North
13,5,North,South,East,None,Stop,4,3,3,8,5,11,5,18,9,12,5,2,9,87,1,792,North
13,6,North,South,None,None,Stop,4,3,3,8,5,11,5,18,9,13,6,3,8,86,1,891,North
13,7,North,South,East,West,Stop,4,3,3,8,5,11,5,18,9,14,7,4,7,85,1,990,North
12,7,None,None,East,West,Stop,4,3,3,8,5,11,5,18,9,13,6,3,8,84,1,1089,West
11,7,None,None,East,West,Stop,4,3,3,8,5,11,5,18,9,12,5,2,9,83,1,1188,West
10,7,None,South,East,West,Stop,4,3,3,8,5,11,5,18,9,11,4,3,10,82,1,1287,West
10,6,North,South,None,West,Stop,4,3,3,8,5,11,5,18,9,10,3,2,11,82,2,1286,South
9,1,None,None,East,West,Stop,4,3,3,8,5,11,5,18,9,8,5,6,17,95,1,0,Stop
10,1,None,None,East,West,Stop,4,3,3,9,5,10,5,18,9,9,5,4,15,94,1,99,East
11,1,None,None,East,West,Stop,4,3,3,10,5,11,5,17,9,10,5,4,13,93,1,198,East
12,1,None,None,East,West,Stop,4,4,3,11,5,10,5,16,9,10,5,6,13,92,1,297,East
13,1,North,None,None,West,Stop,4,3,3,10,5,11,5,17,9,12,7,6,11,91,1,396,East
13,2,North,South,None,None,Stop,4,3,4,10,6,10,5,16,9,12,7,6,11,90,1,495,North
13,3,North,South,East,West,Stop,4,3,4,10,6,10,6,17,9,11,6,6,9,89,1,594,North
13,4,North,South,None,None,Stop,4,3,3,10,5,10,6,16,9,11,4,5,8,88,1,693,North
13,5,North,South,East,None,Stop,4,3,3,10,6,9,6,16,9,12,4,5,7,87,1,792,North
13,6,North,South,None,None,Stop,4,4,3,9,6,9,5,16,9,12,4,5,5,86,1,891,North
13,7,North,South,East,West,Stop,4,3,3,9,5,8,5,15,9,14,6,7,4,85,1,990,North
13,8,North,South,None,None,Stop,4,4,3,9,5,9,5,15,9,14,7,7,3,84,1,1089,North
13,9,None,South,None,West,Stop,4,5,3,9,6,8,5,15,9,14,7,9,2,83,1,1188,North
12,9,None,None,East,West,Stop,4,5,3,9,5,9,5,15,9,13,7,7,4,82,1,1287,West
11,9,None,None,East,West,Stop,4,5,3,9,6,10,5,15,8,12,5,5,5,81,1,1386,West
10,9,None,None,East,West,Stop,4,5,3,9,6,11,5,15,8,11,4,5,5,80,1,1485,West
9,9,None,None,East,West,Stop,4,5,3,9,5,10,5,15,9,10,4,5,7,79,1,1584,West
8,9,None,None,East,West,Stop,4,6,3,9,5,10,5,16,9,8,5,6,7,78,1,1683,West
7,9,None,None,East,West,Stop,4,6,2,8,5,10,5,15,9,8,5,7,8,77,1,1782,West
6,9,None,South,East,None,Stop,4,6,1,9,5,9,5,15,9,0,7,7,9,76,1,1881,West
6,8,North,South,None,None,Stop,4,7,1,10,5,8,5,15,9,0,7,5,9,75,1,1980,South
6,7,North,South,East,West,Stop,4,7,1,11,5,8,5,15,8,0,7,4,9,74,1,2079,South
6,6,North,South,None,None,Stop,4,7,1,10,5,9,5,15,7,0,5,4,11,73,1,2178,South
6,5,North,South,None,West,Stop,4,8,1,9,5,8,5,16,7,0,3,2,12,72,1,2277,South
6,4,North,South,None,None,Stop,4,8,1,9,6,8,5,16,7,0,5,3,13,71,1,2376,South
6,3,North,South,East,West,Stop,4,8,1,9,6,9,5,16,7,0,6,5,13,70,1,2475,South
7,3,None,None,East,West,Stop,4,7,1,10,6,10,5,16,6,0,6,5,13,69,1,2574,East
8,3,None,None,East,West,Stop,4,7,1,9,6,11,5,16,7,0,4,5,12,68,1,2673,East
9,3,None,None,East,West,Stop,4,8,1,9,6,11,5,16,7,0,3,4,10,67,1,2772,East
10,3,None,None,East,West,Stop,4,9,1,10,6,10,5,16,6,0,3,2,9,66,1,2871,East
11,3,None,None,East,West,Stop,4,10,1,10,6,11,5,16,6,0,4,2,8,65,1,2970,East
12,3,None,None,East,West,Stop,4,10,1,10,6,10,5,16,6,0,5,4,7,64,2,3069,East
13,3,North,South,East,West,Stop,4,10,1,9,6,9,5,16,6,0,7,6,6,64,1,3068,East
13,4,North,South,None,None,Stop,4,11,1,9,6,10,5,16,6,0,6,4,6,64,2,3067,North
13,5,North,South,East,None,Stop,4,10,1,10,6,9,5,16,7,0,4,4,5,64,1,3066,North
13,6,North,South,None,None,Stop,4,11,1,10,6,10,5,16,7,0,3,4,3,64,2,3065,North
13,7,North,South,East,West,Stop,4,10,1,10,6,9,5,15,7,0,4,6,3,64,1,3064,North
14,7,None,None,East,West,Stop,4,9,1,10,6,9,6,16,7,0,5,6,3,63,1,3163,East
15,7,North,None,East,West,Stop,4,9,1,10,7,10,6,16,6,0,5,6,1,62,1,3262,East
16,7,None,South,None,West,Stop,3,8,1,11,7,9,6,7,1,0,5,8,0,61,1,3561,East
16,6,North,South,None,None,Stop,3,8,1,10,7,9,6,7,1,0,7,7,0,60,1,3660,South
16,5,North,South,East,West,Stop,3,7,1,10,6,10,6,7,1,0,7,7,0,59,1,3759,South
15,5,None,None,East,West,Stop,3,8,1,10,6,10,7,8,1,0,6,7,0,58,1,3858,West
14,5,None,None,East,West,Stop,3,8,1,9,6,10,6,7,1,0,6,5,0,57,2,3957,West
13,5,North,South,East,None,Stop,3,7,1,9,5,10,5,6,1,0,4,3,10,57,3,3956,West
13,4,North,South,None,None,Stop,3,8,1,9,5,11,5,6,2,0,5,3,8,57,2,3955,South
13,3,North,South,East,West,Stop,3,7,1,9,5,10,5,6,3,0,6,5,6,57,1,3954,South
12,3,None,None,East,West,Stop,3,6,1,8,5,11,5,7,3,0,6,3,5,57,2,3953,West
11,3,None,None,East,West,Stop,3,7,1,8,5,10,5,7,3,0,5,3,3,57,3,3952,West
10,3,None,None,East,West,Stop,3,6,1,9,5,9,5,8,3,0,3,3,2,57,4,3951,West
9,3,None,None,East,West,Stop,3,6,1,8,5,10,5,8,3,0,3,3,0,57,3,4150,West
8,3,None,None,East,West,Stop,3,6,2,8,5,11,5,7,1,3,2,5,0,57,2,4149,West
7,3,None,None,East,West,Stop,3,6,3,9,5,10,5,8,1,1,4,5,0,57,2,4148,West
6,3,North,South,East,West,Stop,2,1,2,8,5,9,5,7,1,6,4,5,0,57,1,4347,West
6,4,North,South,None,None,Stop,2,1,1,9,5,8,5,7,1,0,4,3,0,57,2,4346,North
6,5,North,South,None,West,Stop,2,1,2,10,5,8,5,7,1,8,4,2,0,57,1,4345,North
6,6,North,South,None,None,Stop,2,1,1,9,5,8,5,8,1,0,4,3,0,57,2,4344,North
6,7,North,South,East,West,Stop,2,1,1,9,5,9,5,9,1,0,5,5,0,57,1,4343,North
7,7,None,None,East,West,Stop,2,1,2,9,6,9,5,10,1,11,3,4,0,56,1,4442,East
8,7,None,None,East,West,Stop,2,1,1,9,5,9,6,9,1,0,3,2,0,55,1,4541,East
9,7,None,South,East,West,Stop,1,2,1,8,5,5,1,9,1,0,3,0,0,54,1,4840,East
9,6,North,South,East,None,Stop,1,3,1,8,5,4,1,9,1,0,2,0,0,54,2,4839,South
9,1,None,None,East,West,Stop,4,3,3,8,5,11,5,18,9,8,5,6,17,95,1,0,Stop
10,1,None,None,East,West,Stop,4,3,3,9,5,11,5,18,9,9,5,5,16,94,1,99,East
11,1,None,None,East,West,Stop,4,3,4,10,5,11,5,18,9,11,5,4,14,93,1,198,East
12,1,None,None,East,West,Stop,4,3,4,11,5,11,5,17,9,12,5,5,14,92,1,297,East
13,1,North,None,None,West,Stop,4,3,3,10,5,11,5,18,9,12,7,6,12,91,1,396,East
13,2,North,South,None,None,Stop,4,3,3,11,5,10,5,18,8,11,5,6,12,90,1,495,North
13,3,North,South,East,West,Stop,4,3,3,10,5,10,6,18,9,10,5,6,11,89,1,594,North
13,4,North,South,None,None,Stop,4,3,4,10,6,10,6,18,9,10,5,5,10,88,1,693,North
13,5,North,South,East,None,Stop,4,3,3,10,6,10,6,18,9,12,4,4,9,87,1,792,North
13,6,North,South,None,None,Stop,4,3,4,10,7,9,6,18,9,12,4,4,7,86,1,891,North
13,7,North,South,East,West,Stop,4,3,3,9,7,9,5,17,9,14,4,6,7,85,1,990,North
12,7,None,None,East,West,Stop,4,3,3,9,6,10,5,18,9,13,4,4,7,84,1,1089,West
11,7,None,None,East,West,Stop,4,4,3,9,7,9,5,18,8,11,2,4,8,83,1,1188,West
10,7,None,South,East,West,Stop,4,4,3,9,6,9,6,18,8,10,2,2,8,82,1,1287,West
10,6,North,South,None,West,Stop,4,3,3,9,7,9,7,18,7,10,2,2,8,82,2,1286,South
9,6,North,South,East,None,Stop,3,4,3,8,7,5,1,18,6,8,2,0,10,82,1,1485,West
9,7,None,South,East,West,Stop,2,4,3,3,1,6,1,18,7,9,0,0,10,81,1,1784,North
8,7,None,None,East,West,Stop,2,4,3,2,1,7,1,18,6,8,0,0,10,80,1,1883,West
7,7,None,None,East,West,Stop,2,4,3,1,1,6,1,18,7,7,0,0,11,79,1,1982,West
6,7,North,South,East,West,Stop,2,4,3,1,1,6,2,18,7,6,0,5,13,78,1,2081,West
6,6,North,South,None,None,Stop,2,4,3,1,2,6,2,18,8,5,9,4,14,77,1,2180,South
6,5,North,South,None,West,Stop,2,5,3,1,1,6,2,18,8,3,0,3,14,76,1,2279,South
5,5,None,None,East,West,Stop,2,4,3,1,1,6,2,18,7,3,0,4,16,75,1,2378,West
4,5,None,None,East,West,Stop,2,4,2,2,1,6,3,18,8,3,0,4,18,74,1,2477,West
3,5,North,South,East,West,Stop,2,4,1,3,1,6,2,18,9,0,0,6,19,73,1,2576,West
3,4,North,South,None,None,Stop,2,4,1,3,1,6,1,18,9,0,0,0,19,72,2,2675,South
3,3,North,None,East,None,Stop,2,3,1,4,1,6,1,18,8,0,0,0,21,72,1,2674,South
